,KO,name,gene_name
5326,K05655,"ABCB8; ATP-binding cassette, subfamily B (MDR/TAP), member 8",ABCB8
5327,K05656,"ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9","ABCB9, TAPL"
5328,K05657,"ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10",ABCB10
5329,K05658,"ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]","ABCB1, CD243"
5330,K05659,"ABCB4; ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:7.6.2.2]",ABCB4
5331,K05660,"ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5",ABCB5
5332,K05661,"ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6",ABCB6
5333,K05662,"ABCB7, ATM; ATP-binding cassette, subfamily B (MDR/TAP), member 7","ABCB7, ATM"
5334,K05664,"ABCB11; ATP-binding cassette, subfamily B (MDR/TAP), member 11",ABCB11
5335,K05665,"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]",ABCC1
5336,K05666,"ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2",ABCC2
5337,K05667,"ABCC3; ATP-binding cassette, subfamily C (CFTR/MRP), member 3",ABCC3
5338,K05668,"ABCC5; ATP-binding cassette, subfamily C (CFTR/MRP), member 5",ABCC5
5339,K05669,"ABCC6; ATP-binding cassette, subfamily C (CFTR/MRP), member 6",ABCC6
5340,K05670,"ABCC13; ATP-binding cassette, subfamily C (CFTR/MRP), member 13",ABCC13
5341,K05671,"ABCC11; ATP-binding cassette, subfamily C (CFTR/MRP), member 11",ABCC11
5342,K05672,"ABCC12; ATP-binding cassette, subfamily C (CFTR/MRP), member 12",ABCC12
5343,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4",ABCC4
5344,K05674,"ABCC10; ATP-binding cassette, subfamily C (CFTR/MRP), member 10",ABCC10
5345,K05675,"ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1 [EC:7.6.2.4]","ABCD1, ALD"
5346,K05676,"ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2 [EC:7.6.2.4]","ABCD2, ALDL1"
5347,K05677,"ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3 [EC:7.6.2.4]","ABCD3, PMP70"
5348,K05678,"ABCD4, PXMP1L; ATP-binding cassette, subfamily D (ALD), member 4 [EC:7.6.2.8]","ABCD4, PXMP1L"
5349,K05679,"ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1",ABCG1
5350,K05680,"ABCG4; ATP-binding cassette, subfamily G (WHITE), member 4",ABCG4
5351,K05681,"ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2","ABCG2, CD338"
5352,K05682,"ABCG3, Mxr2, Abcp2; ATP-binding cassette, subfamily G (WHITE), member 3","ABCG3, Mxr2, Abcp2"
5353,K05683,"ABCG5; ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)",ABCG5
5354,K05684,"ABCG8; ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)",ABCG8
5355,K05685,macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-],macB
5356,K05687,PARK7; protein DJ-1 [EC:3.5.1.124],PARK7
5357,K05688,PINK1; PTEN induced putative kinase 1 [EC:2.7.11.1],PINK1
5358,K05689,"CDH1, CDHE, CD324; cadherin 1, type 1, E-cadherin","CDH1, CDHE, CD324"
5359,K05690,"CTNND1; catenin (cadherin-associated protein), delta 1",CTNND1
5360,K05691,CTNNA; catenin alpha,CTNNA
5361,K05692,ACTB_G1; actin beta/gamma 1,ACTB_G1
5362,K05693,PTPRM; receptor-type tyrosine-protein phosphatase mu [EC:3.1.3.48],PTPRM
5363,K05694,"PTPRB, PTPB; receptor-type tyrosine-protein phosphatase beta [EC:3.1.3.48]","PTPRB, PTPB"
5364,K05695,"PTPRF, LAR; receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]","PTPRF, LAR"
5365,K05696,"PTPN1, PTP1B; tyrosine-protein phosphatase non-receptor type 1 [EC:3.1.3.48]","PTPN1, PTP1B"
5366,K05697,"PTPN6, SHP-1; tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]","PTPN6, SHP-1"
5367,K05698,"PTPRJ, DEP1, CD148; receptor-type tyrosine-protein phosphatase eta [EC:3.1.3.48]","PTPRJ, DEP1, CD148"
5368,K05699,ACTN1_4; actinin alpha 1/4,ACTN1_4
5369,K05700,VCL; vinculin,VCL
5370,K05701,"TJP1, ZO1; tight junction protein 1","TJP1, ZO1"
5371,K05702,"AF6, MLLT4; afadin","AF6, MLLT4"
5372,K05703,FYN; tyrosine-protein kinase Fyn [EC:2.7.10.2],FYN
5373,K05704,SRC; tyrosine-protein kinase Src [EC:2.7.10.2],SRC
5374,K05705,YES1; tyrosine-protein kinase Yes [EC:2.7.10.2],YES1
5375,K05706,"SNAI2, SLUG; snail 2","SNAI2, SLUG"
5376,K05707,SNAI1; snail 1,SNAI1
5377,K05708,"hcaE, hcaA1; 3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]","hcaE, hcaA1"
5378,K05709,"hcaF, hcaA2; 3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]","hcaF, hcaA2"
5379,K05710,hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,hcaC
5380,K05711,"hcaB; 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]",hcaB
5381,K05712,mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127],mhpA
5382,K05713,"mhpB; 2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]",mhpB
5383,K05714,"mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]",mhpC
5384,K05715,2PGK; 2-phosphoglycerate kinase [EC:2.7.2.16],2PGK
5385,K05716,"CPGS; cyclic 2,3-diphosphoglycerate synthase [EC:6.5.1.9]",CPGS
5386,K05717,FN1; fibronectin 1,FN1
5387,K05718,"ITGAL, CD11a; integrin alpha L","ITGAL, CD11a"
5388,K05719,"ITGB1, CD29; integrin beta 1","ITGB1, CD29"
5389,K05720,"FGD1; FYVE, RhoGEF and PH domain containing 1",FGD1
5390,K05721,"FGD2; FYVE, RhoGEF and PH domain containing 2",FGD2
5391,K05722,"FGD3; FYVE, RhoGEF and PH domain containing 3",FGD3
5392,K05723,"FGD4; FYVE, RhoGEF and PH domain containing 4",FGD4
5393,K05724,"FGD5_6; FYVE, RhoGEF and PH domain containing 5/6",FGD5_6
5394,K05725,"PTK2, FAK; focal adhesion kinase 1 [EC:2.7.10.2]","PTK2, FAK"
5395,K05726,"BCAR1, CAS; breast cancer anti-estrogen resistance 1","BCAR1, CAS"
5396,K05727,DOCK3; dedicator of cytokinesis protein 3,DOCK3
5397,K05728,CSK; c-src tyrosine kinase [EC:2.7.10.2],CSK
5398,K05729,"ARHGEF6, PIXA; Rho guanine nucleotide exchange factor 6","ARHGEF6, PIXA"
5399,K05730,VAV; guanine nucleotide exchange factor VAV,VAV
5400,K05731,TIAM1; T-lymphoma invasion and metastasis-inducing protein 1,TIAM1
5401,K05732,"ARHGAP35, GRLF1; glucocorticoid receptor DNA-binding factor 1","ARHGAP35, GRLF1"
5402,K05733,"PAK3, MRX30; p21-activated kinase 3 [EC:2.7.11.1]","PAK3, MRX30"
5403,K05734,PAK4; p21-activated kinase 4 [EC:2.7.11.1],PAK4
5404,K05735,PAK6; p21-activated kinase 6 [EC:2.7.11.1],PAK6
5405,K05736,"PAK5, PAK7; p21-activated kinase 5 [EC:2.7.11.1]","PAK5, PAK7"
5406,K05737,GIT1; G protein-coupled receptor kinase interactor 1,GIT1
5407,K05738,MYL1; myosin light chain 1,MYL1
5408,K05739,seaA; uncharacterized protein,seaA
5409,K05740,DIAPH1; diaphanous 1,DIAPH1
5410,K05741,DIAPH2; diaphanous 2,DIAPH2
5411,K05742,"SLC9A1, NHE1; solute carrier family 9 (sodium/hydrogen exchanger), member 1","SLC9A1, NHE1"
5412,K05743,LIMK1; LIM domain kinase 1 [EC:2.7.11.1],LIMK1
5413,K05744,LIMK2; LIM domain kinase 2 [EC:2.7.11.1],LIMK2
5414,K05745,"DIAPH3, DRF3; diaphanous 3","DIAPH3, DRF3"
5415,K05746,"ENAH, MENA; enabled","ENAH, MENA"
5416,K05747,WAS; Wiskott-Aldrich syndrome protein,WAS
5417,K05748,"WASF2; WAS protein family, member 2",WASF2
5418,K05749,CYFIP; cytoplasmic FMR1 interacting protein,CYFIP
5419,K05750,"NCKAP1, NAP125; NCK-associated protein 1","NCKAP1, NAP125"
5420,K05751,ABI2; abl interactor 2,ABI2
5421,K05752,"C3ORF10, HSPC300; chromosome 3 open reading frame 10","C3ORF10, HSPC300"
5422,K05753,"WASF1; WAS protein family, member 1",WASF1
5423,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5",ARPC5
5424,K05755,"ARPC4; actin related protein 2/3 complex, subunit 4",ARPC4
5425,K05756,"ARPC3; actin related protein 2/3 complex, subunit 3",ARPC3
5426,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B",ARPC1A_B
5427,K05758,"ARPC2; actin related protein 2/3 complex, subunit 2",ARPC2
5428,K05759,PFN; profilin,PFN
5429,K05760,PXN; paxillin,PXN
5430,K05761,VIL1; villin 1,VIL1
5431,K05762,RDX; radixin,RDX
5432,K05763,MSN; moesin,MSN
5433,K05764,"TMSB4; thymosin, beta 4",TMSB4
5434,K05765,CFL; cofilin,CFL
5435,K05766,SSH; protein phosphatase slingshot [EC:3.1.3.16 3.1.3.48],SSH
5436,K05767,IQGAP2_3; Ras GTPase-activating-like protein IQGAP2/3,IQGAP2_3
5437,K05768,GSN; gelsolin,GSN
5438,K05769,"ARHGEF4_29, ASEF1_2; Rho guanine nucleotide exchange factor 4/29","ARHGEF4_29, ASEF1_2"
5439,K05770,"TSPO, BZRP; translocator protein","TSPO, BZRP"
5440,K05771,"NR3C1, GR; glucocorticoid receptor","NR3C1, GR"
5441,K05772,"tupA, vupA; tungstate transport system substrate-binding protein","tupA, vupA"
5442,K05773,"tupB, vupB; tungstate transport system permease protein","tupB, vupB"
5443,K05774,"phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]",phnN
5444,K05775,malM; maltose operon periplasmic protein,malM
5445,K05776,modF; molybdate transport system ATP-binding protein,modF
5446,K05777,ynjB; putative thiamine transport system substrate-binding protein,ynjB
5447,K05778,ynjC; putative thiamine transport system permease protein,ynjC
5448,K05779,ynjD; putative thiamine transport system ATP-binding protein,ynjD
5449,K05780,phnL; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37],phnL
5450,K05781,phnK; putative phosphonate transport system ATP-binding protein,phnK
5451,K05782,benE; benzoate membrane transport protein,benE
5452,K05783,benD-xylL; dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-],benD-xylL
5453,K05784,"benC-xylZ; benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]",benC-xylZ
5454,K05785,rfaH; transcriptional antiterminator RfaH,rfaH
5455,K05786,rarD; chloramphenicol-sensitive protein RarD,rarD
5456,K05787,hupA; DNA-binding protein HU-alpha,hupA
5457,K05788,"ihfB, himD; integration host factor subunit beta","ihfB, himD"
5458,K05789,wzzB; chain length determinant protein (polysaccharide antigen chain regulator),wzzB
5459,K05790,wzzE; lipopolysaccharide biosynthesis protein WzzE,wzzE
5460,K05791,terZ; tellurium resistance protein TerZ,terZ
5461,K05792,terA; tellurite resistance protein TerA,terA
5462,K05793,terB; tellurite resistance protein TerB,terB
5463,K05794,terC; tellurite resistance protein TerC,terC
5464,K05795,terD; tellurium resistance protein TerD,terD
5465,K05796,hydN; electron transport protein HydN,hydN
5466,K05797,pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1],pchF
5467,K05798,"leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon",leuO
5468,K05799,"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex",pdhR
5469,K05800,ybaO; Lrp/AsnC family transcriptional regulator,ybaO
5470,K05801,djlA; DnaJ like chaperone protein,djlA
5471,K05802,"mscK, kefA, aefA; potassium-dependent mechanosensitive channel","mscK, kefA, aefA"
5472,K05803,nlpI; lipoprotein NlpI,nlpI
5473,K05804,"rob; AraC family transcriptional regulator, mar-sox-rob regulon activator",rob
5474,K05805,creA; CreA protein,creA
5475,K05806,leuL; leu operon leader peptide,leuL
5476,K05807,bamD; outer membrane protein assembly factor BamD,bamD
5477,K05808,yhbH; putative sigma-54 modulation protein,yhbH
5478,K05809,raiA; ribosome-associated inhibitor A,raiA
5479,K05810,"LACC1, yfiH; purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]","LACC1, yfiH"
5480,K05811,yfiM; putative lipoprotein,yfiM
5481,K05812,"DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]","DTWD2, tapT"
5482,K05813,ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein,ugpB
5483,K05814,ugpA; sn-glycerol 3-phosphate transport system permease protein,ugpA
5484,K05815,ugpE; sn-glycerol 3-phosphate transport system permease protein,ugpE
5485,K05816,ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10],ugpC
5486,K05817,"hcaR; LysR family transcriptional regulator, hca operon transcriptional activator",hcaR
5487,K05818,"mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator",mhpR
5488,K05819,"mhpT; MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter",mhpT
5489,K05820,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",hcaT
5490,K05821,ARO9; aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28],ARO9
5491,K05822,"dapH, dapD; tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]","dapH, dapD"
5492,K05823,dapL; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47],dapL
5493,K05824,LYS12; homoisocitrate dehydrogenase [EC:1.1.1.87],LYS12
5494,K05825,LYSN; 2-aminoadipate transaminase [EC:2.6.1.-],LYSN
5495,K05826,lysW; alpha-aminoadipate/glutamate carrier protein LysW,lysW
5496,K05827,lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43],lysX
5497,K05828,"lysZ, argB; [amino group carrier protein]-L-2-aminoadipate/L-glutamate 6-kinase [EC:2.7.2.17 2.7.2.19]","lysZ, argB"
5498,K05829,"lysY, argC; [amino group carrier protein]-6-phospho-L-2-aminoadipate/5-phospho-L-glutamate reductase [EC:1.2.1.103 1.2.1.106]","lysY, argC"
5499,K05830,"lysJ, argD; [amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase [EC:2.6.1.118 2.6.1.124]","lysJ, argD"
5500,K05831,"lysK, argE; [amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]","lysK, argE"
5501,K05832,K05832; putative tryptophan/tyrosine transport system permease protein,K05832
5502,K05833,K05833; putative tryptophan/tyrosine transport system ATP-binding protein,K05833
5503,K05834,rhtB; homoserine/homoserine lactone efflux protein,rhtB
5504,K05835,rhtC; threonine efflux protein,rhtC
5505,K05836,"hutC; GntR family transcriptional regulator, histidine utilization repressor",hutC
5506,K05837,"rodA, mrdB; rod shape determining protein RodA","rodA, mrdB"
5507,K05838,ybbN; putative thioredoxin,ybbN
5508,K05839,hha; haemolysin expression modulating protein,hha
5509,K05840,DRD5; dopamine receptor D5,DRD5
5510,K05841,E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173],E2.4.1.173
5511,K05842,TRIF; toll-like receptor adapter molecule 1,TRIF
5512,K05843,"TGFBR3; transforming growth factor, beta receptor III",TGFBR3
5513,K05844,rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-],rimK
5514,K05845,opuC; osmoprotectant transport system substrate-binding protein,opuC
5515,K05846,opuBD; osmoprotectant transport system permease protein,opuBD
5516,K05847,opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9],opuA
5517,K05848,YPC1; phytoceramidase [EC:3.5.1.-],YPC1
5518,K05849,"SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)","SLC8A, NCX"
5519,K05850,ATP2B; P-type Ca2+ transporter type 2B [EC:7.2.2.10],ATP2B
5520,K05851,"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]",cyaA
5521,K05852,PLN; phospholamban,PLN
5522,K05853,ATP2A; P-type Ca2+ transporter type 2A [EC:7.2.2.10],ATP2A
5523,K05854,LYN; tyrosine-protein kinase Lyn [EC:2.7.10.2],LYN
5524,K05855,SYK; spleen tyrosine kinase [EC:2.7.10.2],SYK
5525,K05856,LCK; lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2],LCK
5526,K05857,"PLCD; phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]",PLCD
5527,K05858,"PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]",PLCB
5528,K05859,"PLCG2; phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]",PLCG2
5529,K05860,"PLCE; phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]",PLCE
5530,K05861,"PLCZ; phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]",PLCZ
5531,K05862,VDAC1; voltage-dependent anion channel protein 1,VDAC1
5532,K05863,"SLC25A4S, ANT; solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31","SLC25A4S, ANT"
5533,K05864,"PPID, CYPD; peptidyl-prolyl isomerase D [EC:5.2.1.8]","PPID, CYPD"
5534,K05865,"TNNC1; troponin C, slow skeletal and cardiac muscles",TNNC1
5535,K05866,CDC25B; M-phase inducer phosphatase 2 [EC:3.1.3.48],CDC25B
5536,K05867,CDC25C; M-phase inducer phosphatase 3 [EC:3.1.3.48],CDC25C
5537,K05868,CCNB1; G2/mitotic-specific cyclin-B1,CCNB1
5538,K05869,CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17],CAMK4
5539,K05870,CREB1; cyclic AMP-responsive element-binding protein 1,CREB1
5540,K05871,"PTK2B, FAK2; focal adhesion kinase 2 [EC:2.7.10.2]","PTK2B, FAK2"
5541,K05872,NFKBIE; NF-kappa-B inhibitor epsilon,NFKBIE
5542,K05873,"cyaB; adenylate cyclase, class 2 [EC:4.6.1.1]",cyaB
5543,K05874,"tsr; methyl-accepting chemotaxis protein I, serine sensor receptor",tsr
5544,K05875,"tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor",tar
5545,K05876,"trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor",trg
5546,K05877,"tap; methyl-accepting chemotaxis protein IV, peptide sensor receptor",tap
5547,K05878,dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121],dhaK
5548,K05879,dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121],dhaL
5549,K05880,dhaR; transcriptional activator for dhaKLM operon,dhaR
5550,K05881,dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121],dhaM
5551,K05882,E1.1.1.91; aryl-alcohol dehydrogenase (NADP+) [EC:1.1.1.91],E1.1.1.91
5552,K05884,comC; L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337],comC
5553,K05886,sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276],sdh
5554,K05887,ydiB; quinate/shikimate dehydrogenase [EC:1.1.1.282],ydiB
5555,K05888,"K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]",K05888
5556,K05889,pvadh; polyvinyl alcohol dehydrogenase (cytochrome) [EC:1.1.2.6],pvadh
5557,K05894,OPR; 12-oxophytodienoic acid reductase [EC:1.3.1.42],OPR
5558,K05895,cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK-cbiJ
5559,K05896,scpA; segregation and condensation protein A,scpA
5560,K05897,patGox; oxazoline/thiazoline dehydrogenase [EC:1.3.3.16],patGox
5561,K05898,kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4],kstD
5562,K05901,BLVRB; biliverdin reductase / flavin reductase [EC:1.3.1.24 1.5.1.30],BLVRB
5563,K05906,"PCYOX1, FCLY; prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]","PCYOX1, FCLY"
5564,K05907,APR; adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9],APR
5565,K05908,doxDA; thiosulfate dehydrogenase (quinone) [EC:1.8.5.2],doxDA
5566,K05909,E1.10.3.2; laccase [EC:1.10.3.2],E1.10.3.2
5567,K05910,npr; NADH peroxidase [EC:1.11.1.1],npr
5568,K05913,"dad; 2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]",dad
5569,K05914,E1.13.12.7; photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7],E1.13.12.7
5570,K05915,phnZ1; (hydroxymethyl)phosphonate/2-amino-1-hydroxyethylphosphonate dioxygenase [EC:1.13.11.89 1.13.11.78],phnZ1
5571,K05916,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]","hmp, YHB1"
5572,K05917,CYP51; sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36],CYP51
5573,K05918,bmp5; 4-hydroxybenzoate brominase (decarboxylating) [EC:1.14.19.55],bmp5
5574,K05919,dfx; superoxide reductase [EC:1.15.1.2],dfx
5575,K05921,"hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]",hpaG
5576,K05922,hydB; quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1],hydB
5577,K05925,METTL3; mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348],METTL3
5578,K05926,nhs; 23S rRNA (adenosine1067-2'-O)-methyltransferase [EC:2.1.1.230],nhs
5579,K05927,hydA; quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1],hydA
5580,K05928,E2.1.1.95; tocopherol O-methyltransferase [EC:2.1.1.95],E2.1.1.95
5581,K05929,"E2.1.1.103, NMT; phosphoethanolamine N-methyltransferase [EC:2.1.1.103]","E2.1.1.103, NMT"
5582,K05931,"CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]","CARM1, PRMT4"
5583,K05933,E1.14.17.4; aminocyclopropanecarboxylate oxidase [EC:1.14.17.4],E1.14.17.4
5584,K05934,"cobJ, cbiH; precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]","cobJ, cbiH"
5585,K05936,"cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]","cobM, cbiF"
5586,K05937,K05937; uncharacterized protein,K05937
5587,K05939,aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20],aas
5588,K05940,CROT; carnitine O-octanoyltransferase [EC:2.3.1.137],CROT
5589,K05941,E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15],E2.3.2.15
5590,K05942,E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3],E2.3.3.3
5591,K05946,"tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]","tagA, tarA"
5592,K05947,E2.4.1.217; mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217],E2.4.1.217
5593,K05948,FNG; fringe [EC:2.4.1.222],FNG
5594,K05951,draT; NAD+---dinitrogen-reductase ADP-D-ribosyltransferase [EC:2.4.2.37],draT
5595,K05952,K05952; uncharacterized protein,K05952
5596,K05953,NAS; nicotianamine synthase [EC:2.5.1.43],NAS
5597,K05954,FNTB; protein farnesyltransferase subunit beta [EC:2.5.1.58],FNTB
5598,K05955,FNTA; protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59],FNTA
5599,K05956,RABGGTB; geranylgeranyl transferase type-2 subunit beta [EC:2.5.1.60],RABGGTB
5600,K05957,stsC; L-glutamine:scyllo-inosose aminotransferase [EC:2.6.1.50],stsC
5601,K05960,E2.7.11.26; tau-protein kinase [EC:2.7.11.26],E2.7.11.26
5602,K05961,dnk; deoxynucleoside kinase [EC:2.7.1.145],dnk
5603,K05964,citX; holo-ACP synthase [EC:2.7.7.61],citX
5604,K05966,citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52],citG
5605,K05967,K05967; uncharacterized protein,K05967
5606,K05969,PTRHD1; peptidyl-tRNA hydrolase PTRHD1 [EC:3.1.1.29],PTRHD1
5607,K05970,SIAE; sialate O-acetylesterase [EC:3.1.1.53],SIAE
5608,K05972,AXE1; acetylxylan esterase [EC:3.1.1.72],AXE1
5609,K05973,phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75],phaZ
5610,K05977,dszB; 2'-hydroxybiphenyl-2-sulfinate desulfinase [EC:3.13.1.3],dszB
5611,K05978,stpA; glucosylglycerol 3-phosphatase [EC:3.1.3.69],stpA
5612,K05979,comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71],comB
5613,K05982,"E3.1.21.7, nfi; deoxyribonuclease V [EC:3.1.21.7]","E3.1.21.7, nfi"
5614,K05984,cho; excinuclease Cho [EC:3.1.25.-],cho
5615,K05985,rnmV; ribonuclease M5 [EC:3.1.26.8],rnmV
5616,K05986,NUCS; nuclease S1 [EC:3.1.30.1],NUCS
5617,K05988,dexA; dextranase [EC:3.2.1.11],dexA
5618,K05989,ramA; alpha-L-rhamnosidase [EC:3.2.1.40],ramA
5619,K05991,E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123],E3.2.1.123
5620,K05992,amyM; maltogenic alpha-amylase [EC:3.2.1.133],amyM
5621,K05994,E3.4.11.10; bacterial leucyl aminopeptidase [EC:3.4.11.10],E3.4.11.10
5622,K05995,pepE; dipeptidase E [EC:3.4.13.21],pepE
5623,K05996,cpt; carboxypeptidase T [EC:3.4.17.18],cpt
5624,K05997,sufA; Fe-S cluster assembly protein SufA,sufA
5625,K05998,E3.4.21.100; pseudomonalisin [EC:3.4.21.100],E3.4.21.100
5626,K05999,E3.4.21.101; xanthomonalisin [EC:3.4.21.101],E3.4.21.101
5627,K06000,E3.4.22.2; papain [EC:3.4.22.2],E3.4.22.2
5628,K06001,trpB; tryptophan synthase beta chain [EC:4.2.1.20],trpB
5629,K06002,PGA; pepsin A [EC:3.4.23.1],PGA
5630,K06004,E3.4.23.18; aspergillopepsin I [EC:3.4.23.18],E3.4.23.18
5631,K06005,SAP; candidapepsin [EC:3.4.23.24],SAP
5632,K06006,"cpxP, spy; periplasmic protein CpxP/Spy","cpxP, spy"
5633,K06007,PFAPG; plasmepsin I [EC:3.4.23.38],PFAPG
5634,K06008,PFAPD; plasmepsin II [EC:3.4.23.39],PFAPD
5635,K06009,YPS1_2; yapsin 1/2 [EC:3.4.23.41],YPS1_2
