,reaction,name
1420,R01689,butanoate:NAD+ delta2-oxidoreductase; Butanoic acid + NAD+ <=> 2-Butenoate + NADH + H+
1421,R01690,5'-butyrylphosphoinosine butyrylhydrolase; 5'-Butyrylphosphoinosine + H2O <=> IMP + Butanoic acid
1422,R01694,L-Sorbose:NADP+ 5-oxidoreductase; L-Sorbose + NADP+ <=> 5-Dehydro-D-fructose + NADPH + H+
1423,R01695,L-Sorbose:oxygen 5-oxidoreductase; L-Sorbose + Oxygen <=> 5-Dehydro-D-fructose + Hydrogen peroxide
1424,R01696,L-Sorbose:acceptor 5-oxidoreductase; L-Sorbose + Acceptor <=> 5-Dehydro-D-fructose + Reduced acceptor
1425,R01697,D-Sorbitol:(acceptor) 1-oxidoreductase; D-Sorbitol + Acceptor <=> L-Sorbose + Reduced acceptor
1426,R01698,Dihydrolipoamide:NAD+ oxidoreductase; Dihydrolipoamide + NAD+ <=> Lipoamide + NADH + H+
1427,R01699,"pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating); Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2"
1428,R01700,"2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating); 2-Oxoglutarate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine + CO2"
1429,R01701,"3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating); 3-Methyl-2-oxobutanoic acid + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + CO2"
1430,R01702,"4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating); 4-Methyl-2-oxopentanoate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + CO2"
1431,R01703,Hexadecanoate:hydrogen-peroxide oxidoreductase; Hexadecanoic acid + 2 Hydrogen peroxide <=> Pentadecanal + CO2 + 3 H2O
1432,R01704,Palmitaldehyde:NAD+ oxidoreductase; Hexadecanal + NAD+ + H2O <=> Hexadecanoic acid + NADH + H+
1433,R01705,Palmitoyl-protein hydrolase; Hexadecanoic acid + Protein <=> Palmitoyl-protein + H2O
1434,R01706,hexadecanoyl-[acyl-carrier protein] hydrolase; Hexadecanoyl-[acp] + H2O <=> Acyl-carrier protein + Hexadecanoic acid
1435,R01707,pyridoxal:NAD+ 4-oxidoreductase; Pyridoxal + NAD+ <=> 4-Pyridoxolactone + NADH + H+
1436,R01708,Pyridoxine:NADP+ 4-oxidoreductase; Pyridoxine + NADP+ <=> Pyridoxal + NADPH + H+
1437,R01709,pyridoxal:oxygen 4-oxidoreductase; Pyridoxal + Oxygen + H2O <=> 4-Pyridoxate + Hydrogen peroxide
1438,R01710,pyridoxamine:oxygen oxidoreductase (deaminating); Pyridoxamine + H2O + Oxygen <=> Pyridoxal + Ammonia + Hydrogen peroxide
1439,R01711,pyridoxine:oxygen oxidoreductase (deaminating); Pyridoxine + Oxygen <=> Pyridoxal + Hydrogen peroxide
1440,R01712,pyridoxamine:pyruvate aminotransferase; Pyridoxamine + Pyruvate <=> Pyridoxal + L-Alanine
1441,R01713,Pyridoxamine:oxaloacetate aminotransferase; Pyridoxamine + Oxaloacetate <=> Pyridoxal + L-Aspartate
1442,R01714,5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming); 5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate
1443,R01715,Chorismate pyruvatemutase; Chorismate <=> Prephenate
1444,R01716,chorismate:L-glutamine aminotransferase; Chorismate + L-Glutamine <=> 4-Amino-4-deoxychorismate + L-Glutamate
1445,R01717,chorismate hydroxymutase; Chorismate <=> Isochorismate
1446,R01718,Isomaltose 6-alpha-D-glucanohydrolase; Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose
1447,R01720,nicotinate:NADP+ 6-oxidoreductase (hydroxylating); Nicotinate + NADP+ + H2O <=> 6-Hydroxynicotinate + NADPH + H+
1448,R01721,S-Adenosyl-L-methionine:nicotinate N-methyltransferase; S-Adenosyl-L-methionine + Nicotinate <=> S-Adenosyl-L-homocysteine + N-Methylnicotinate
1449,R01722,UDP-glucose:nicotinate N-glucosyltransferase; UDP-glucose + Nicotinate <=> UDP + N-Glucosylnicotinate
1450,R01723,Nicotinate + Glycine + ATP <=> Nicotinurate + AMP + Diphosphate
1451,R01724,"5-phospho-alpha-D-ribose 1-diphosphate:nicotinate ligase (ADP, diphosphate-forming); Nicotinate D-ribonucleotide + Diphosphate + ADP + Orthophosphate <=> Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + H+"
1452,R01728,prephenate:NAD+ oxidoreductase(decarboxylating); Prephenate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+
1453,R01730,Prephenate:NADP+ oxidoreductase(decarboxylating); Prephenate + NADP+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADPH + H+
1454,R01731,L-arogenate:2-oxoglutarate aminotransferase; Oxaloacetate + L-Arogenate <=> L-Aspartate + Prephenate
1455,R01732,Riboflavin hydrolase; Riboflavin + H2O <=> Ribitol + Lumichrome
1456,R01734,Dimethylbenzimidazole <=> Riboflavin
1457,R01735,(R)-Lactaldehyde:NAD+ 2-oxidoreductase; (R)-Lactaldehyde + NAD+ + H2O <=> (R)-Lactate + NADH + H+
1458,R01736,(R)-S-Lactoylglutathione hydrolase; (R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate
1459,R01737,ATP:D-gluconate 6-phosphotransferase; ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate
1460,R01738,D-Gluconate:NAD+ 5-oxidoreductase; D-Gluconic acid + NAD+ <=> 5-Dehydro-D-gluconate + NADH + H+
1461,R01739,D-gluconate:NADP+ 2-oxidoreductase; D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+
1462,R01740,D-Gluconate:NADP+ 5-oxidoreductase; D-Gluconic acid + NADP+ <=> 5-Dehydro-D-gluconate + NADPH + H+
1463,R01741,D-Gluconate:(acceptor) 2-oxidoreductase; D-Gluconic acid + FAD <=> 2-Keto-D-gluconic acid + FADH2
1464,R01742,D-Gluconate:acceptor 2-oxidoreductase; D-Gluconic acid + Acceptor <=> 2-Keto-D-gluconic acid + Reduced acceptor
1465,R01745,(R)-Glycerate:NAD+ oxidoreductase; D-Glycerate + NAD+ <=> 2-Hydroxy-3-oxopropanoate + NADH + H+
1466,R01747,(R)-Glycerate:NADP+ oxidoreductase; D-Glycerate + NADP+ <=> 2-Hydroxy-3-oxopropanoate + NADPH + H+
1467,R01748,D-Glycerate-2-phosphate phosphohydrolase; 2-Phospho-D-glycerate + H2O <=> D-Glycerate + Orthophosphate
1468,R01749,D-Glycerate:NAD+ oxidoreductase (carboxylating); D-Glycerate + NAD+ + CO2 <=> 2-Hydroxy-3-oxosuccinate + NADH + H+
1469,R01750,D-Glycerate:NADP+ oxidoreductase (carboxylating); D-Glycerate + NADP+ + CO2 <=> 2-Hydroxy-3-oxosuccinate + NADPH + H+
1470,R01751,"(R,R)-tartrate carboxy-lyase (D-glycerate-forming); (R,R)-Tartaric acid <=> D-Glycerate + CO2"
1471,R01752,D-Glyceraldehyde:NAD+ oxidoreductase; D-Glyceraldehyde + NAD+ + H2O <=> D-Glycerate + NADH + H+
1472,R01754,ATP:L-arabinose 1-phosphotransferase; ATP + L-Arabinose <=> ADP + beta-L-Arabinose 1-phosphate
1473,R01757,"L-arabinose:NAD+ 1-oxidoreductase; L-Arabinose + NAD+ <=> L-Arabinono-1,4-lactone + NADH + H+"
1474,R01758,L-Arabitol:NAD+ 1-oxidoreductase; L-Arabitol + NAD+ <=> L-Arabinose + NADH + H+
1475,R01759,L-Arabitol:NADP+ 1-oxidoreductase; L-Arabitol + NADP+ <=> L-Arabinose + NADPH + H+
1476,R01760,beta-L-Arabinoside arabinohydrolase; beta-L-Arabinoside + H2O <=> Alcohol + L-Arabinose
1477,R01761,L-Arabinose aldose-ketose-isomerase; L-Arabinose <=> L-Ribulose
1478,R01762,alpha-L-arabinan arabinofuranohydrolase; Arabinan + H2O <=> Arabinan + L-Arabinose
1479,R01763,Benzyl alcohol:NAD+ oxidoreductase; Benzyl alcohol + NAD+ <=> Benzaldehyde + NADH + H+
1480,R01764,benzoylformate carboxy-lyase (benzaldehyde-forming); alpha-Oxo-benzeneacetic acid <=> Benzaldehyde + CO2
1481,R01766,L-threo-3-Phenylserine benzaldehyde-lyase (glycine-forming); L-threo-3-Phenylserine <=> Glycine + Benzaldehyde
1482,R01767,mandelonitrile benzaldehyde-lyase (cyanide-forming); Mandelonitrile <=> Hydrogen cyanide + Benzaldehyde
1483,R01768,hypoxanthine:NAD+ oxidoreductase; Hypoxanthine + NAD+ + H2O <=> Xanthine + NADH + H+
1484,R01769,Hypoxanthine:oxygen oxidoreductase; Hypoxanthine + Oxygen + H2O <=> Xanthine + Hydrogen peroxide
1485,R01770,inosine ribohydrolase; Inosine + H2O <=> Hypoxanthine + D-Ribose
1486,R01771,ATP:L-homoserine O-phosphotransferase; ATP + L-Homoserine <=> ADP + O-Phospho-L-homoserine
1487,R01773,L-Homoserine:NAD+ oxidoreductase; L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+
1488,R01775,L-homoserine:NADP+ oxidoreductase; L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+
1489,R01776,Acetyl-CoA:L-homoserine O-acetyltransferase; Acetyl-CoA + L-Homoserine <=> CoA + O-Acetyl-L-homoserine
1490,R01777,Succinyl-CoA:L-homoserine O-succinyltransferase; Succinyl-CoA + L-Homoserine <=> CoA + O-Succinyl-L-homoserine
1491,R01778,(3S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase; (3S)-3-Hydroxyacyl-CoA + NAD+ <=> 3-Oxoacyl-CoA + NADH + H+
1492,R01779,(3R)-3-hydroxyacyl-CoA:NADP+ oxidoreductase; (3R)-3-Hydroxyacyl-CoA + NADP+ <=> 3-Oxoacyl-CoA + NADPH + H+
1493,R01780,Succinyl-CoA:3-oxo-acid CoA-transferase; Succinyl-CoA + 3-Oxo acid <=> Succinate + 3-Oxoacyl-CoA
1494,R01781,"1,2-Ethanediol:NAD+ oxidoreductase; Ethylene glycol + NAD+ <=> Glycolaldehyde + NADH + H+"
1495,R01782,2-dehydro-3-deoxy-D-pentonate glycolaldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-D-xylonate <=> Pyruvate + Glycolaldehyde
1496,R01784,2-dehydro-3-deoxy-L-pentonate glycolaldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-L-arabinonate <=> Pyruvate + Glycolaldehyde
1497,R01785,L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming); L-Xylulose 1-phosphate <=> Glycerone phosphate + Glycolaldehyde
1498,R01786,ATP:alpha-D-glucose 6-phosphotransferase; ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate
1499,R01787,D-Glucitol:NADP+ 1-oxidoreductase; D-Sorbitol + NADP+ <=> alpha-D-Glucose + NADPH + H+
1500,R01788,alpha-D-Glucose 6-phosphate phosphohydrolase; alpha-D-Glucose 6-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate
1501,R01790,"1,4-alpha-D-Glucan glucohydrolase; Starch + H2O <=> D-Glucose + Starch"
1502,R01791,Dextrin 6-alpha-D-glucanohydrolase; Dextrin + H2O <=> D-Glucose + Dextrin
1503,R01793,"5,6,7,8-tetrahydrobiopterin:NAD+ oxidoreductase; Dihydrobiopterin + NADH + H+ <=> Tetrahydrobiopterin + NAD+"
1504,R01794,"5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase; Dihydrobiopterin + NADPH + H+ <=> Tetrahydrobiopterin + NADP+"
1505,R01795,"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating); Tetrahydrobiopterin + L-Phenylalanine + Oxygen <=> Dihydrobiopterin + L-Tyrosine + H2O"
1506,R01797,CDP-diacylglycerol phosphatidylhydrolase; CDP-diacylglycerol + H2O <=> CMP + Phosphatidate
1507,R01798,Arachidonyl-CoA:CDPacylglycerol O-arachidonyltransferase; Arachidonyl-CoA + CDP-acylglycerol <=> CoA + CDP-diacylglycerol
1508,R01799,CTP:phosphatidate cytidyltransferase; CTP + Phosphatidate <=> Diphosphate + CDP-diacylglycerol
1509,R01800,CDP-diacylglycerol:L-serine 3-phosphatidyltransferase; CDP-diacylglycerol + L-Serine <=> CMP + Phosphatidylserine
1510,R01801,CDP-diacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase; CDP-diacylglycerol + sn-Glycerol 3-phosphate <=> CMP + Phosphatidylglycerophosphate
1511,R01802,CDP-diacylglycerol:myo-inositol 3-phosphatidyltransferase; CDP-diacylglycerol + myo-Inositol <=> CMP + 1-Phosphatidyl-D-myo-inositol
1512,R01803,"N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating); N-Acetylneuraminate + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> N-Glycoloyl-neuraminate + 2 Ferricytochrome b5 + H2O"
1513,R01804,"phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming); N-Acetylneuraminate + Orthophosphate <=> N-Acetyl-D-mannosamine + Phosphoenolpyruvate + H2O"
1514,R01805,N-Acetylneuraminate 9-phosphate phosphohydrolase; N-Acetylneuraminate 9-phosphate + H2O <=> N-Acetylneuraminate + Orthophosphate
1515,R01806,Acetyl-CoA:N-acetylneuraminate 4-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-4-O-acetylneuraminate
1516,R01807,Acetyl-CoA:N-acetylneuraminate 7-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-7-O-acetylneuraminate
1517,R01808,Acetyl-CoA:N-acetylneuraminate 9-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-9-O-acetylneuraminate
1518,R01810,N-Acyl-O-acetylneuraminate O-acetylesterase; N-Acetyl-O-acetylneuraminate + H2O <=> N-Acetylneuraminate + Acetate
1519,R01811,N-Acetylneuraminate pyruvate-lyase (N-acetyl-D-mannosamine-forming); N-Acetylneuraminate <=> N-Acetyl-D-mannosamine + Pyruvate
1520,R01812,"5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase; Tetrahydrobiopterin + 2 NADP+ <=> Biopterin + 2 NADPH + 2 H+"
1521,R01813,"tetrahydrobiopterin:NADP+ oxidoreductase; Tetrahydrobiopterin + NADP+ <=> 6-Lactoyl-5,6,7,8-tetrahydropterin + NADPH + H+"
1522,R01814,"L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating); Tetrahydrobiopterin + L-Tryptophan + Oxygen <=> 5-Hydroxy-L-tryptophan + Dihydrobiopterin + H2O"
1523,R01815,"L-Tyrosine,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating); Tetrahydrobiopterin + L-Tyrosine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + Dihydrobiopterin + H2O"
1524,R01817,D-mannitol-1-phosphate:NADP+ 6-oxidoreductase; D-Mannitol 1-phosphate + NADP+ <=> D-Mannose 6-phosphate + NADPH + H+
1525,R01818,"D-mannose 6-phosphate 1,6-phosphomutase; D-Mannose 6-phosphate <=> D-Mannose 1-phosphate"
1526,R01819,D-mannose-6-phosphate aldose-ketose-isomerase; D-Mannose 6-phosphate <=> beta-D-Fructose 6-phosphate
1527,R01821,"1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase; Amylose + Orthophosphate <=> Amylose + D-Glucose 1-phosphate"
1528,R01823,"Sucrose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase; Sucrose + Amylose <=> D-Fructose + Amylose"
1529,R01824,maltodextrin 1-alpha-D-glucosylmutase; Maltodextrin <=> 1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside
1530,R01825,D-erythrose 4-phosphate:NAD+ oxidoreductase; D-Erythrose 4-phosphate + NAD+ + H2O <=> 4-Phospho-D-erythronate + NADH + H+
1531,R01826,"Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming); Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate"
1532,R01827,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase; Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate
1533,R01829,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase; Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate"
1534,R01830,beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase; beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate
1535,R01833,"Androst-4-ene-3,17-dione,hydrogen-donor:oxygen oxidoreductase (13-hydroxylating, lactonizing); Androstenedione + Reduced acceptor + Oxygen <=> Testololactone + Acceptor + H2O"
1536,R01834,"3-Oxo-5alpha-steroid:(acceptor) delta4-oxidoreductase; 5alpha-Androstane-3,17-dione + Acceptor <=> Androstenedione + Reduced acceptor"
1537,R01835,"5beta-androstane-3,17-dione:NADP+ 4,5-oxidoreductase; 5beta-Androstane-3,17-dione + NADP+ <=> H+ + NADPH + Androstenedione"
1538,R01836,testosterone:NAD+ 17-oxidoreductase; Testosterone + NAD+ <=> Androstenedione + NADH + H+
1539,R01837,3beta-Hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase; Dehydroepiandrosterone + NAD+ <=> Androstenedione + NADH + H+
1540,R01838,testosterone:NADP+ 17-oxidoreductase; Testosterone + NADP+ <=> Androstenedione + NADPH + H+
1541,R01840,"androstenedione,NADPH---hemoprotein reductase:oxygen oxidoreductase (19-hydroxylating); Androstenedione + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19-Hydroxyandrost-4-ene-3,17-dione + [Oxidized NADPH---hemoprotein reductase] + H2O"
1542,R01842,"androstenedione,NADPH---hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating); Androstenedione + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 7alpha-Hydroxyandrost-4-ene-3,17-dione + [Oxidized NADPH---hemoprotein reductase] + H2O"
1543,R01843,"ATP:Sedoheptulose 7-phosphate 1-phosphotransferase; ATP + Sedoheptulose 7-phosphate <=> ADP + Sedoheptulose 1,7-bisphosphate"
1544,R01844,ATP:sedoheptulose 7-phosphate; ATP + Sedoheptulose <=> ADP + Sedoheptulose 7-phosphate
1545,R01845,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase; Sedoheptulose 1,7-bisphosphate + H2O <=> Sedoheptulose 7-phosphate + Orthophosphate"
1546,R01850,acetyl-CoA:hydrogen-sulfide S-acetyltransferase; Acetyl-CoA + Hydrogen sulfide <=> CoA + Thioacetate
1547,R01851,Methanethiol:oxygen oxidoreductase; Methanethiol + Oxygen + H2O <=> Hydrogen sulfide + Formaldehyde + Hydrogen peroxide
1548,R01853,RCH2NH2:oxygen oxidoreductase (deaminating) (copper-containing); RCH2NH2 + H2O + Oxygen <=> Aldehyde + Ammonia + Hydrogen peroxide
1549,R01854,RCH2NH2:acceptor oxidoreductase (deaminating); aralkylamine:acceptor oxidoreductase (deaminating); RCH2NH2 + H2O + Acceptor <=> Aldehyde + Ammonia + Reduced acceptor
1550,R01855,2'-deoxyguanosine 5'-triphosphate diphosphohydrolase; dGTP + H2O <=> dGMP + Diphosphate
1551,R01856,dGTP triphosphohydrolase; dGTP + H2O <=> Deoxyguanosine + Triphosphate
1552,R01857,ATP:dGDP phosphotransferase; ATP + dGDP <=> ADP + dGTP
1553,R01858,dGTP:pyruvate 2-O-phosphotransferase; dGTP + Pyruvate <=> dGDP + Phosphoenolpyruvate
1554,R01859,propanoyl-CoA:carbon-dioxide ligase (ADP-forming); ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA
1555,R01860,4-Aminobenzoate carboxy-lyase; 4-Aminobenzoate <=> Aniline + CO2
1556,R01861,"3'-Phosphoadenylyl-sulfate:benzenamine N-sulfotransferase; 3'-Phosphoadenylyl sulfate + Aniline <=> Adenosine 3',5'-bisphosphate + Benzenamine sulfate"
1557,R01862,Anilide amidohydrolase; Anilide + H2O <=> Carboxylate + Aniline
1558,R01863,inosine:phosphate alpha-D-ribosyltransferase; Inosine + Orthophosphate <=> Hypoxanthine + alpha-D-Ribose 1-phosphate
1559,R01866,(S)-dihydroorotate:NADP+ oxidoreductase; (S)-Dihydroorotate + NADP+ <=> Orotate + NADPH + H+
1560,R01867,(S)-dihydroorotate:fumarate oxidoreductase; (S)-Dihydroorotate + Fumarate <=> Orotate + Succinate
1561,R01868,(S)-dihydroorotate:quinone oxidoreductase; (S)-Dihydroorotate + Quinone <=> Orotate + Hydroquinone
1562,R01869,(S)-dihydroorotate:NAD+ oxidoreductase; (S)-Dihydroorotate + NAD+ <=> Orotate + H+ + NADH
1563,R01870,Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase; Orotidine 5'-phosphate + Diphosphate <=> Orotate + 5-Phospho-alpha-D-ribose 1-diphosphate
1564,R01872,L-quinate:NAD+ 3-oxidoreductase; Quinate:NAD+ 5-oxidoreductase; Quinate + NAD+ <=> 3-Dehydroquinate + NADH + H+
1565,R01873,Quinate:pyrroloquinoline-quinone 3-oxidoreductase; Quinate:pyrroloquinoline-quinone 5-oxidoreductase; Quinate + PQQ <=> PQQH2 + 3-Dehydroquinate
1566,R01874,D-cysteine sulfide-lyase (deaminating; pyruvate-forming); D-Cysteine + H2O <=> Hydrogen sulfide + Ammonia + Pyruvate
1567,R01875,Thiosulfate:thiol sulfurtransferase; Thiosulfate + 2 Glutathione + H+ <=> Sulfite + Glutathione disulfide + Hydrogen sulfide
1568,R01876,uridine:phosphate alpha-D-ribosyltransferase; Uridine + Orthophosphate <=> Uracil + alpha-D-Ribose 1-phosphate
1569,R01877,uridine 3'-monophosphate phosphohydrolase; 3'-UMP + H2O <=> Uridine + Orthophosphate
1570,R01878,Cytidine aminohydrolase; Cytidine + H2O <=> Uridine + Ammonia
1571,R01879,"2-Deoxyuridine,2-oxoglutarate:oxygen oxidoreductase (2'-hydroxylating); Deoxyuridine + 2-Oxoglutarate + Oxygen <=> Uridine + Succinate + CO2"
1572,R01881,ATP:creatine N-phosphotransferase; ATP + Creatine <=> ADP + Phosphocreatine
1573,R01882,N-Phosphocreatine hydrolase; Phosphocreatine + H2O <=> Creatine + Orthophosphate
1574,R01883,S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase; S-Adenosyl-L-methionine + Guanidinoacetate <=> S-Adenosyl-L-homocysteine + Creatine
1575,R01884,Creatinine amidohydrolase; Creatinine + H2O <=> Creatine
1576,R01885,ADP-ribose + H2O <=> alpha-D-Ribose 1-phosphate + AMP
1577,R01886,Nomega-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase; N(omega)-(ADP-D-ribosyl)-L-arginine + H2O <=> L-Arginine + ADP-ribose
1578,R01887,gamma-Amino-gamma-cyanobutanoate aminohydrolase; gamma-Amino-gamma-cyanobutanoate + 2 H2O <=> Glutamate + Ammonia
1579,R01888,ATP:kanamycin 3'-O-phosphotransferase; ATP + Kanamycin A <=> ADP + Kanamycin A 3'-phosphate
1580,R01889,Acetyl-CoA:kanamycin-B N6'-acetyltransferase; Acetyl-CoA + Kanamycin B <=> CoA + N6'-Acetylkanamycin-B
1581,R01890,CTP:choline-phosphate cytidylyltransferase; CTP + Choline phosphate <=> Diphosphate + CDP-choline
1582,R01891,CDP-choline:N-acylsphingosine cholinephosphotransferase; CDP-choline + N-Acylsphingosine <=> CMP + Sphingomyelin
1583,R01892,Ribitol:ferricytochrome-c 2-oxidoreductase; Ribitol + 2 Ferricytochrome c <=> D-Ribulose + 2 Ferrocytochrome c + 2 H+
1584,R01895,Ribitol:NAD+ 2-oxidoreductase; Ribitol + NAD+ <=> D-Ribulose + NADH + H+
1585,R01896,xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming); Xylitol + NAD+ <=> D-Xylulose + NADH + H+
1586,R01898,D-lyxose aldose-ketose-isomerase; D-Xylulose <=> D-Lyxose
1587,R01899,Isocitrate:NADP+ oxidoreductase; Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+
1588,R01900,isocitrate hydro-lyase (cis-aconitate-forming); Isocitrate <=> cis-Aconitate + H2O
1589,R01901,ATP:L-xylulose 5-phosphotransferase; ATP + L-Xylulose <=> ADP + L-Xylulose 5-phosphate
1590,R01902,ATP:L-xylulose 1-phosphotransferase; ATP + L-Xylulose <=> ADP + L-Xylulose 1-phosphate
1591,R01903,L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming); L-Arabitol + NAD+ <=> L-Xylulose + NADH + H+
1592,R01904,Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming); Xylitol + NADP+ <=> L-Xylulose + NADPH + H+
1593,R01905,3-Dehydro-L-gulonate carboxy-lyase; 3-Dehydro-L-gulonate <=> L-Xylulose + CO2
1594,R01906,L-lyxose aldose-ketose-isomerase; L-Xylulose <=> L-Lyxose
1595,R01908,oxalyl-CoA carboxy-lyase (formyl-CoA-forming); Oxalyl-CoA <=> Formyl-CoA + CO2
1596,R01909,ATP:pyridoxine 5'-phosphotransferase; ATP + Pyridoxine <=> ADP + Pyridoxine phosphate
1597,R01910,Primary alcohol:(acceptor) oxidoreductase; Pyridoxine + Oxygen <=> Isopyridoxal + Hydrogen peroxide
1598,R01911,pyridoxine-5'-phosphate phosphohydrolase; Pyridoxine + Orthophosphate <=> Pyridoxine phosphate + H2O
1599,R01912,UDP-glucose:pyridoxine 5'-O-beta-D-glucosyltransferase; UDP-glucose + Pyridoxine <=> UDP + 5'-O-beta-D-Glucosylpyridoxine
1600,R01913,Pyridoxine <=> 1-Deoxy-D-xylulose + 4-Hydroxy-L-threonine
1601,R01914,"spermidine:(acceptor) oxidoreductase; Spermidine + Oxygen + H2O <=> 1,3-Diaminopropane + 4-Aminobutyraldehyde + Hydrogen peroxide"
1602,R01915,"Spermidine:(acceptor) oxidoreductase; Spermidine + Acceptor + H2O <=> 1,3-Diaminopropane + 4-Aminobutyraldehyde + Reduced acceptor"
1603,R01917,gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming); ATP + Glutathione + Spermidine <=> ADP + Orthophosphate + Glutathionylspermidine
