gene name,#,KO,thrshld,score,E-value,KO definition,distance
CalderimariFdhNAD,*,K00123,858.47,1096.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1622.0
CalderimariFdhNAD,*,K22516,981.17,1020.6,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1622.0
CalderimariTtrA,*,K08357,722.33,1124.9,0.0,tetrathionate reductase subunit A,1714.0
CaldiarchsubtTtrA,*,K08357,722.33,796.3,3.8999999999999996e-240,tetrathionate reductase subunit A,1826.0
CaldilinaeroFdhH,*,K00123,858.47,910.8,8.1e-275,formate dehydrogenase major subunit [EC:1.17.1.9],1404.0
CaldilinaeroTtrA,*,K08357,722.33,1035.6,0.0,tetrathionate reductase subunit A,1727.0
CaldimicrothioNapA,*,K02567,776.8,966.5,9.700000000000002e-292,nitrate reductase (cytochrome) [EC:1.9.6.1],1502.0
CaldinitroNapA,*,K02567,776.8,1000.9,3.7e-302,nitrate reductase (cytochrome) [EC:1.9.6.1],1499.0
CaldinitroPsrA,*,K08352,591.5,854.8,5.100000000000001e-258,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1480.0
CaldinitroTtrA,*,K08357,722.33,792.6,4.9e-239,tetrathionate reductase subunit A,1780.0
CaloramproteoFdhNAD,*,K22341,1422.43,1476.7,0.0,"formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]",1564.0
CaloramproteoFdhNAD,*,K05299,1213.8,1346.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1564.0
CaloramproteoFdhNAD,*,K00123,858.47,1084.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1564.0
CaloramproteoFdhNAD,*,K22516,981.17,1037.7,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1564.0
CaloranaerobacferriFdhNAD,*,K22341,1422.43,1592.9,0.0,"formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]",1575.0
CaloranaerobacferriFdhNAD,*,K05299,1213.8,1363.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1575.0
CaloranaerobacferriFdhNAD,*,K00123,858.47,1112.9,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1575.0
CaloranaerobacferriFdhNAD,*,K22516,981.17,1039.2,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1575.0
CalothrixbrevissiNasC,*,K00367,1035.97,1212.7,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1420.0
CalothrixrhizosolNasC,*,K00367,1035.97,1184.7,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1431.0
CaminibacmediatlanNapA,*,K02567,776.8,1304.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1653.0
CampyconcNapA,*,K02567,776.8,1334.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1610.0
CampyconcPsrA,*,K08352,591.5,792.4,3.7999999999999998e-239,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1463.0
CampyconcTtrA,*,K08357,722.33,1206.8,0.0,tetrathionate reductase subunit A,1638.0
CampycurvNapA,*,K02567,776.8,1326.0,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1625.0
CampycurvPsrA,*,K08352,591.5,808.4,5.5e-244,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1468.0
CampygeoTtrA1,*,K08357,722.33,1159.2,0.0,tetrathionate reductase subunit A,1626.0
CampygeoTtrA2,*,K08357,722.33,1189.4,0.0,tetrathionate reductase subunit A,1623.0
CampyhelvNapA,*,K02567,776.8,1336.8,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1603.0
CampyhelvPsrA,*,K08352,591.5,825.7,3.1000000000000004e-249,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1470.0
CampyshowTtrA,*,K08357,722.33,1220.7,0.0,tetrathionate reductase subunit A,1635.0
CampysubantPsrA,*,K08352,591.5,785.2,5.5e-237,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1466.0
CarbferrFdhN,*,K00123,858.47,863.8,1.3000000000000001e-260,formate dehydrogenase major subunit [EC:1.17.1.9],1665.0
CarbferrFdhNAD,*,K05299,1213.8,1400.4,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1593.0
CarbferrFdhNAD,*,K00123,858.47,1081.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1593.0
CarbferrFdhNAD,*,K22516,981.17,1022.5,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1593.0
CarbferrPsrA,*,K08352,591.5,865.2,3.6e-261,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1428.0
CarbferrTtrA,*,K08357,722.33,1126.6,0.0,tetrathionate reductase subunit A,1703.0
CarbhydrFdhN,*,K00123,858.47,868.3,5.4e-262,formate dehydrogenase major subunit [EC:1.17.1.9],1663.0
CarbhydrFdhNAD,*,K22341,1422.43,1423.6,0.0,"formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]",1589.0
CarbhydrFdhNAD,*,K05299,1213.8,1400.6,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1589.0
CarbhydrFdhNAD,*,K00123,858.47,1083.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1589.0
CarbhydrFdhNAD,*,K22516,981.17,1023.1,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1589.0
CarbhydrPsrA,*,K08352,591.5,887.8,5.3e-268,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1435.0
CarbhydrTtrA,*,K08357,722.33,1132.6,0.0,tetrathionate reductase subunit A,1713.0
CarboxydocelsporoTtrA,*,K08357,722.33,1092.1,0.0,tetrathionate reductase subunit A,1722.0
CarboxydocelthermautNapA,*,K02567,776.8,1232.4,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1505.0
CatenovulagariNasA,*,K00372,1068.0,1241.1,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1525.0
CaulobacsegnisAioA,*,K08356,724.13,1142.9,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1499.0
CavvibacpharyngoFdhNAD,*,K00123,858.47,993.5,8.2e-300,formate dehydrogenase major subunit [EC:1.17.1.9],1581.0
CelereinatadiazotrophFdhH,*,K22015,921.03,1336.5,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1437.0
Celeribacethan1NasA,*,K00372,1068.0,1237.7,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1559.0
CeleribacethanTtrA,*,K08357,722.33,1381.5,0.0,tetrathionate reductase subunit A,1686.0
CeleribacpersiNasA,*,K00372,1068.0,1234.5,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1567.0
CelluloalgicoNapA,*,K02567,776.8,1121.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1474.0
CellulobaltiNapA,*,K02567,776.8,1122.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1494.0
CetiapacifiNapA,*,K02567,776.8,1306.4,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1652.0
CetobacsomerFdhNAD,*,K00123,858.47,923.3,1.3e-278,formate dehydrogenase major subunit [EC:1.17.1.9],1582.0
ChelatodaegAioA,*,K08356,724.13,1224.6,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1504.0
ChitinigtaiwanNasA,*,K00372,1068.0,1205.9,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1568.0
ChlorobchlorPsrA,*,K08352,591.5,778.9,4.7e-235,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1466.0
ChloroblimniAioA,*,K08356,724.13,1044.2,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1565.0
ChloroblimniPsrA,*,K08352,591.5,778.5,6.1e-235,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1457.0
ChlorobphaeAioA,*,K08356,724.13,1032.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1536.0
ChlorobphaePsrA,*,K08352,591.5,789.9,2.2e-238,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1476.0
ChloroflexaggreAioA,*,K08356,724.13,1055.0,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1560.0
ChloroflexaggreTtrA,*,K08357,722.33,1013.3,0.0,tetrathionate reductase subunit A,1738.0
ChloroflexauraAioA,*,K08356,724.13,1089.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1513.0
ChloroflexauraTtrA,*,K08357,722.33,1006.4,1.3e-303,tetrathionate reductase subunit A,1735.0
ChromobachaemoFdhN,*,K08348,1823.1,1824.9,0.0,"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",1676.0
ChromobacpisciFdhH,*,K22015,921.03,1294.5,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1436.0
ChrysosporovalisporNasC,*,K00367,1035.97,1205.1,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1409.0
ChyrsioarsenNapA,*,K02567,776.8,972.3,1.7e-293,nitrate reductase (cytochrome) [EC:1.9.6.1],1500.0
CiceribacliviAioA,*,K08356,724.13,1195.5,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1534.0
CitroamalonPsrA,*,K08352,591.5,864.0,8.6e-261,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
CitroamalonTtrA,*,K08357,722.33,1538.2,0.0,tetrathionate reductase subunit A,1642.0
CitrobraakPsrA,*,K08352,591.5,865.0,4.1e-261,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
CitrobraakTtrA,*,K08357,722.33,1538.0,0.0,tetrathionate reductase subunit A,1644.0
Citrofreund1FdhH,*,K22015,921.03,1345.9,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1412.0
Citrofreund1NapA,*,K02567,776.8,1468.2,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1498.0
Citrofreund1TtrA,*,K08357,722.33,1534.6,0.0,tetrathionate reductase subunit A,1655.0
CitrofreundPsrA,*,K08352,591.5,863.9,8.8e-261,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1435.0
CitropasteurNapA,*,K02567,776.8,1471.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1511.0
CitropasteurPsrA,*,K08352,591.5,865.4,3.1e-261,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1449.0
CitroportTtrA,*,K08357,722.33,1531.4,0.0,tetrathionate reductase subunit A,1653.0
CloacibacilevryFdhNAD,*,K00123,858.47,994.2,4.8e-300,formate dehydrogenase major subunit [EC:1.17.1.9],1590.0
ClostridautoethanoFdhH,*,K22015,921.03,1269.6,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1440.0
ClostridcarboxiFdhH,*,K22015,921.03,1305.9,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1453.0
ClostridcarboxiFdhH,*,K00123,858.47,860.0,1.8e-259,formate dehydrogenase major subunit [EC:1.17.1.9],1453.0
ClostridformicaFdhN,*,K00123,858.47,859.5,2.5e-259,formate dehydrogenase major subunit [EC:1.17.1.9],1654.0
ClostridhydrogeniFdhH,*,K22015,921.03,1307.7,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1486.0
ClostridhydrogeniFdhH,*,K00123,858.47,867.8,7.7e-262,formate dehydrogenase major subunit [EC:1.17.1.9],1486.0
ClostridljungFdhH,*,K22015,921.03,1272.3,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1433.0
CocleimonflavaFdhNAD,*,K00123,858.47,1051.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1566.0
CocleimonflavaNasA,*,K00372,1068.0,1224.2,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1543.0
CohaesibacmarisTtrA,*,K08357,722.33,1387.8,0.0,tetrathionate reductase subunit A,1692.0
CollimonarenaeNasA,*,K00372,1068.0,1304.5,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1559.0
CollimonpratenNasA,*,K00372,1068.0,1307.7,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1567.0
CollinselaerofaciFdhH,*,K22015,921.03,1203.1,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1459.0
ComamoaquaNapA,*,K02567,776.8,1481.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1518.0
ComamoaquaTtrA,*,K08357,722.33,1495.9,0.0,tetrathionate reductase subunit A,1652.0
ComamogranTtrA,*,K08357,722.33,1499.8,0.0,tetrathionate reductase subunit A,1678.0
ComamoterriNapA,*,K02567,776.8,1484.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1533.0
ComamotestTtrA,*,K08357,722.33,1492.7,0.0,tetrathionate reductase subunit A,1684.0
ComamothioTtrA,*,K08357,722.33,1493.4,0.0,tetrathionate reductase subunit A,1684.0
ConfluentilipoNasA,*,K00372,1068.0,1234.6,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1549.0
ConsosalsiAioA,*,K08356,724.13,1173.3,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1524.0
ConsosalsiFdhH,*,K22015,921.03,1292.1,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1456.0
CosenmyxoPsrA,*,K08352,591.5,814.0,1.1e-245,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1436.0
CosenmyxoTtrA,*,K08357,722.33,1533.3,0.0,tetrathionate reductase subunit A,1679.0
CricetibacosteoFdhH,*,K22015,921.03,1273.2,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1431.0
CrinaliepipsaNasC,*,K00367,1035.97,1207.1,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1432.0
Cryptocurt1FdhH,*,K22015,921.03,1213.2,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1442.0
Cryptocurt1FdhNAD,*,K00123,858.47,965.3,2.7e-291,formate dehydrogenase major subunit [EC:1.17.1.9],1586.0
CryptocurtPsrA,*,K08352,591.5,665.1,1.2e-200,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1442.0
CryptosporauranFdhNAD,*,K00123,858.47,1016.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1592.0
CupriaalkaliphilFdhNAD,*,K00123,858.47,1078.9,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1626.0
CupriaalkaliphilNapA,*,K02567,776.8,1479.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1515.0
CupriaalkaliphilNasA,*,K00372,1068.0,1320.4,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1562.0
CupriabasilAioA,*,K08356,724.13,1212.7,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1518.0
Cuprianecator1NapA,*,K02567,776.8,1484.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1524.0
CuprianecatorFdhNAD,*,K00123,858.47,1076.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1634.0
CupriaoxalatiNasA,*,K00372,1068.0,1311.5,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1571.0
CupriapinatuNapA,*,K02567,776.8,1488.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1516.0
CupriataiwanNapA,*,K02567,776.8,1479.2,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1510.0
CupriataiwanNasA,*,K00372,1068.0,1324.1,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1564.0
CylindrosperstagNasC,*,K00367,1035.97,1224.1,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1433.0
CystoferrugiNapA,*,K02567,776.8,857.5,8.799999999999999e-259,nitrate reductase (cytochrome) [EC:1.9.6.1],1446.0
CystofuscusNapA,*,K02567,776.8,857.4,9.299999999999999e-259,nitrate reductase (cytochrome) [EC:1.9.6.1],1443.0
DactylosporFdhN,*,K00123,858.47,876.0,2.5999999999999998e-264,formate dehydrogenase major subunit [EC:1.17.1.9],1700.0
DechloroagitTtrA,*,K08357,722.33,1406.8,0.0,tetrathionate reductase subunit A,1685.0
DechloroaromaNapA,*,K02567,776.8,1475.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1556.0
DechlorodenitriNapA,*,K02567,776.8,1468.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1559.0
DeferridesulfFdhNAD,*,K00123,858.47,938.8,2.6999999999999997e-283,formate dehydrogenase major subunit [EC:1.17.1.9],1605.0
DeferridesulfNapA,*,K02567,776.8,1001.5,2.5e-302,nitrate reductase (cytochrome) [EC:1.9.6.1],1547.0
DeferridesulfPsrA1,*,K08352,591.5,820.8,9.900000000000001e-248,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1504.0
DeferridesulfPsrA2,*,K08352,591.5,901.0,5.6000000000000005e-272,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1501.0
DeferridesulfTtrA,*,K08357,722.33,1014.7,0.0,tetrathionate reductase subunit A,1732.0
DefluvialbaAioA,*,K08356,724.13,1061.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1496.0
DehalogenialkeniFdhNAD,*,K05299,1213.8,1241.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1547.0
DehalogenialkeniFdhNAD,*,K00123,858.47,1022.5,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1547.0
DehalogeniformiFdhNAD,*,K05299,1213.8,1253.1,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1546.0
DehalogeniformiFdhNAD,*,K00123,858.47,1013.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1546.0
DelftacidTtrA,*,K08357,722.33,1465.1,0.0,tetrathionate reductase subunit A,1667.0
DelfttsurTtrA,*,K08357,722.33,1465.2,0.0,tetrathionate reductase subunit A,1668.0
DenitroacetNapA,*,K02567,776.8,978.5,2.3e-295,nitrate reductase (cytochrome) [EC:1.9.6.1],1505.0
DenitroacetPsrA1,*,K08352,591.5,839.6,2e-253,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1480.0
DenitroacetPsrA2,*,K08352,591.5,803.0,2.3999999999999997e-242,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1432.0
DenitroacetTtrA,*,K08357,722.33,917.4,9.999999999999999e-277,tetrathionate reductase subunit A,1711.0
DenitrobacdetoxiFdhH,*,K22015,921.03,1212.6,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1445.0
DenitrobacdetoxiFdhNAD,*,K00123,858.47,960.2,9.1e-290,formate dehydrogenase major subunit [EC:1.17.1.9],1581.0
DesulfahydrothermFdhNAD,*,K05299,1213.8,1287.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1617.0
DesulfahydrothermFdhNAD,*,K00123,858.47,1090.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1617.0
DesulfainferFdhN,*,K00123,858.47,859.7,2.1999999999999998e-259,formate dehydrogenase major subunit [EC:1.17.1.9],1681.0
DesulfainferFdhNAD,*,K05299,1213.8,1296.7,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1612.0
DesulfainferFdhNAD,*,K00123,858.47,1105.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1612.0
DesulfainferTtrA,*,K08357,722.33,963.2,1.5e-290,tetrathionate reductase subunit A,1637.0
DesulfalgeothermiFdhNAD,*,K05299,1213.8,1397.6,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1574.0
DesulfalgeothermiFdhNAD,*,K00123,858.47,1058.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1574.0
DesulfalgeothermiFdhNAD,*,K22516,981.17,1004.1,2.2e-303,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1574.0
DesulfalgibsonFdhNAD,*,K05299,1213.8,1389.1,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1584.0
DesulfalgibsonFdhNAD,*,K00123,858.47,1045.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1584.0
DesulfalgibsonFdhNAD,*,K22516,981.17,990.8,2.2999999999999998e-299,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1584.0
DesulfatibacilaliphatiFdhNAD,*,K05299,1213.8,1267.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1616.0
DesulfatibacilaliphatiFdhNAD,*,K00123,858.47,1054.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1616.0
DesulfatibacilaliphatiFdhNAD,*,K22516,981.17,994.4,1.9e-300,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1616.0
DesulfatibacilalkeniFdhNAD,*,K05299,1213.8,1269.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1614.0
DesulfatibacilalkeniFdhNAD,*,K00123,858.47,1062.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1614.0
DesulfatibacilalkeniFdhNAD,*,K22516,981.17,995.7,7.499999999999999e-301,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1614.0
DesulfatiglaaniliFdhNAD,*,K05299,1213.8,1312.7,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1615.0
DesulfatiglaaniliFdhNAD,*,K00123,858.47,1075.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1615.0
DesulfatiglaaniliFdhNAD,*,K22516,981.17,987.1,3.0999999999999997e-298,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1615.0
DesulfatirhabbutyratiFdhNAD,*,K05299,1213.8,1352.3,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1618.0
DesulfatirhabbutyratiFdhNAD,*,K00123,858.47,1086.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1618.0
DesulfatirhabbutyratiFdhNAD,*,K22516,981.17,1018.3,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1618.0
DesulfatitaltepidiFdhNAD,*,K05299,1213.8,1332.0,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1610.0
DesulfatitaltepidiFdhNAD,*,K00123,858.47,1081.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1610.0
DesulfatitaltepidiFdhNAD,*,K22516,981.17,998.0,1.6e-301,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1610.0
DesulfitialkaFdhNAD,*,K05299,1213.8,1364.3,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1594.0
DesulfitialkaFdhNAD,*,K00123,858.47,1056.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1594.0
DesulfitialkaFdhNAD,*,K22516,981.17,1003.4,3.5e-303,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1594.0
DesulfitialkaPsrA,*,K08352,591.5,745.9,4.4e-225,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1419.0
DesulfitochloPsrA,*,K08352,591.5,703.9,2.2e-212,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1431.0
DesulfitochloTtrA,*,K08357,722.33,1236.1,0.0,tetrathionate reductase subunit A,1678.0
DesulfitodehaNapA,*,K02567,776.8,1024.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1528.0
DesulfitodehaPsrA,*,K08352,591.5,712.1,7.1e-215,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1413.0
DesulfitodehaTtrA,*,K08357,722.33,1238.6,0.0,tetrathionate reductase subunit A,1666.0
DesulfitodichlorNapA,*,K02567,776.8,1024.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1519.0
DesulfitohafnPsr1,*,K08352,591.5,707.2,2.1000000000000002e-213,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1418.0
DesulfitohafnPsr2,*,K08352,591.5,868.8,3e-262,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1444.0
DesulfitohafnTtrA,*,K08357,722.33,1229.4,0.0,tetrathionate reductase subunit A,1682.0
DesulfitometaTtrA,*,K08357,722.33,1251.2,0.0,tetrathionate reductase subunit A,1689.0
DesulfoacidPsrA,*,K08352,591.5,908.0,4.1000000000000004e-274,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1435.0
DesulfoacidTtrA,*,K08357,722.33,995.2,2.9999999999999996e-300,tetrathionate reductase subunit A,1699.0
DesulfoacididurFdhH,*,K22015,921.03,1276.3,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1456.0
DesulfobacautotrophFdhNAD,*,K05299,1213.8,1317.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1596.0
DesulfobacautotrophFdhNAD,*,K00123,858.47,1041.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1596.0
DesulfobacavacuoFdhNAD,*,K05299,1213.8,1314.0,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1570.0
DesulfobacavacuoFdhNAD,*,K00123,858.47,1040.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1570.0
DesulfobacavacuoFdhNAD,*,K22516,981.17,989.5,5.799999999999999e-299,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1570.0
DesulfobaccaacetoxiFdhNAD,*,K05299,1213.8,1332.8,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1587.0
DesulfobaccaacetoxiFdhNAD,*,K00123,858.47,1075.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1587.0
DesulfobaccaacetoxiFdhNAD,*,K22516,981.17,1001.0,2e-302,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1587.0
DesulfobacutoluoFdhNAD,*,K05299,1213.8,1320.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1622.0
DesulfobacutoluoFdhNAD,*,K00123,858.47,1030.5,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1622.0
DesulfobulmediterNapA,*,K02567,776.8,1148.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1445.0
DesulfocasulfexiNapA,*,K02567,776.8,957.7,4.5e-289,nitrate reductase (cytochrome) [EC:1.9.6.1],1516.0
DesulfococcmultiFdhNAD,*,K05299,1213.8,1337.0,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1563.0
DesulfococcmultiFdhNAD,*,K00123,858.47,1065.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1563.0
