KO,GCA_014381335.1,GCA_014382125.1,GCA_014382905.1,GCA_014384155.1,GCA_014384425.1,GCA_014382765.1,GCA_014384225.1,GCA_014382815.1,GCA_014382535.1,GCA_014383965.1,GCA_014383445.1,GCA_014382665.1,GCA_014381695.1,GCA_014384645.1,GCA_014382705.1,GCA_014381205.1,GCA_014384125.1,GCA_014383645.1,GCA_014381305.1,GCA_014382305.1,GCA_014381665.1,GCA_014382805.1,GCA_014383745.1,GCA_014382015.1,GCA_014384505.1,GCA_014383535.1,GCA_014384445.1,GCA_014384575.1,GCA_014381725.1,GCA_014381755.1,GCA_014381215.1,GCA_014382155.1,GCA_014383415.1,GCA_014382485.1,GCA_014383795.1,GCA_014382825.1,GCA_014384265.1,GCA_014451015.1,GCA_014384375.1,GCA_014381325.1,GCA_014383625.1,GCA_014382975.1,GCA_014383905.1,GCA_014383845.1,GCA_014381785.1,GCA_014384285.1,GCA_014384055.1,GCA_014382085.1,GCA_014382565.1,GCA_014383995.1,GCA_014381645.1,GCA_014384325.1,GCA_014383695.1,GCA_014383885.1,GCA_014384245.1,GCA_014383215.1,GCA_014382685.1,GCA_014382375.1,GCA_014381985.1,GCA_014383485.1,GCA_014382365.1,GCA_014382225.1,GCA_014382385.1,GCA_014383605.1,GCA_014381505.1,GCA_014382185.1,GCA_014384345.1,GCA_014382285.1,GCA_014383785.1,GCA_014382065.1,GCA_014384515.1,GCA_014383305.1,GCA_014383455.1,GCA_014384455.1,GCA_014381585.1,GCA_014383265.1,GCA_014384365.1,GCA_014383985.1,GCA_014382195.1,GCA_014384665.1,GCA_014382695.1,GCA_014381835.1,GCA_014384465.1,GCA_014383555.1,GCA_014384105.1,GCA_014383725.1,GCA_014381895.1,GCA_014381415.1,GCA_014381795.1,GCA_014382345.1,GCA_014382255.1,GCA_014384145.1,GCA_014381285.1,GCA_014381995.1,GCA_014382865.1,GCA_014382775.1,GCA_014383685.1,GCA_014383515.1,GCA_014381395.1,GCA_014383505.1,GCA_014382045.1,GCA_014383935.1,GCA_014382465.1,GCA_014384025.1,GCA_014383825.1,GCA_014381945.1,GCA_014381885.1,GCA_014381855.1,GCA_014383835.1,GCA_014381465.1,GCA_014384205.1,GCA_014382915.1,GCA_014382585.1,GCA_014383355.1,GCA_014382605.1,GCA_014384625.1,GCA_014381825.1,GCA_014381265.1,GCA_014381405.1,GCA_014384565.1,GCA_014384185.1,GCA_014382875.1,GCA_014382145.1,GCA_014381685.1,GCA_014381605.1,GCA_014382415.1,GCA_014383915.1,GCA_014384295.1,GCA_014382445.1,GCA_014381225.1,GCA_014384685.1,GCA_014382715.1,GCA_014382495.1,GCA_014382515.1,GCA_014384545.1,GCA_014383635.1,GCA_014381955.1,GCA_014381295.1,GCA_014382075.1,GCA_014381385.1,GCA_014384675.1,GCA_014381745.1,GCA_014384865.1,GCA_014381555.1,GCA_014381495.1,GCA_014381625.1,GCA_014383385.1,GCA_014382595.1,GCA_014382645.1,GCA_014384065.1,GCA_014383735.1,GCA_014381545.1,GCA_014384555.1,GCA_014381485.1,GCA_014383345.1,GCA_014381925.1,GCA_014384355.1,GCA_014384045.1,GCA_014382295.1,GCA_014382245.1
K08309,1.0,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,3.0,,2.0,,,1.0,,,1.0,1.0,,,1.0,,2.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,,2.0,,1.0,2.0,,,,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,1.0,2.0,,1.0,3.0,,,,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0
K08651,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K08968,1.0,1.0,,,,1.0,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
K08970,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,
K08972,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
K08999,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,3.0,,,,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0
K09022,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,3.0,1.0,2.0,2.0,4.0,1.0,,,,1.0,3.0,2.0,2.0,,1.0,,2.0,,,,1.0,,1.0,,,1.0,,,,1.0,3.0,,,,,1.0,,1.0,3.0,1.0,,3.0,1.0,,1.0,,5.0,1.0,1.0,,10.0,,,,1.0,1.0,,,1.0,3.0,,1.0,,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,2.0,,,,2.0,,,,,1.0,,8.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,1.0,,4.0,,,2.0,1.0,,,1.0,2.0,1.0,,1.0,,,3.0,,,,,,1.0,,1.0,,,,1.0
K09065,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
K09117,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,7.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,
K09121,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,1.0,3.0,,,,,2.0,,,,1.0,1.0,,,,,,1.0,1.0
K09122,2.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,3.0,,,,,,1.0,,,,4.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,,,,,1.0,
K09132,3.0,,3.0,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,3.0,4.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
K09143,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,
K09164,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K09458,2.0,2.0,1.0,1.0,,2.0,,1.0,2.0,,,3.0,,,1.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,3.0,,2.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,3.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,3.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,,2.0,,,,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,
K09607,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,
K09691,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,,,,1.0,,,,,,,4.0,,,,3.0,,,,,,2.0,,,,,,,,1.0,,2.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,,,
K09703,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K09710,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,13.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0
K09712,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K09717,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
K09747,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0
K09764,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,4.0,,1.0,,,,,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0
K09791,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,1.0,1.0,3.0,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,1.0,1.0
K09807,1.0,,,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
K09927,1.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,
K10117,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K10233,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K10234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K10439,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,6.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,5.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
K10563,3.0,,,,,,,2.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,6.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,,,1.0,,1.0,,,2.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,2.0,,,,1.0,,2.0,1.0,,,,,,,,,,1.0,1.0
K10747,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
K10773,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,6.0,,1.0,,1.0,1.0,,,,1.0,,1.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
K10914,1.0,,1.0,,1.0,4.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,,1.0,3.0,,3.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,2.0,,,1.0,,,1.0,2.0,,2.0,1.0,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,1.0,1.0,,3.0,,5.0,,,,,1.0,,1.0,,,,,,2.0,,,3.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,3.0,,1.0,,,,1.0,,2.0,1.0,,,,,1.0,2.0,,,,1.0,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,1.0,,1.0,,2.0,,,1.0,
K10947,1.0,1.0,,2.0,,1.0,,2.0,4.0,,,,5.0,2.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,3.0,1.0,1.0,3.0,,,,,,1.0,,1.0,3.0,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,5.0,,1.0,,,,2.0,,,,2.0,,,,,,1.0,,5.0,4.0,,,,,,,1.0,,,,,6.0,1.0,1.0,,3.0,,,,1.0,2.0,1.0,,3.0,,1.0,1.0,,,,,3.0,,4.0,,,,,,1.0,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,3.0,,,1.0
K11049,1.0,2.0,2.0,1.0,1.0,,,,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,3.0,2.0,,,1.0,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,2.0,2.0,2.0,1.0,,,2.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,
K11070,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,,,1.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K11071,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,3.0,,,,,,2.0,,,,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,3.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K11072,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K11529,1.0,,,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,
K11621,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,4.0,,1.0,,,3.0,,,,2.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
K11693,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11717,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,1.0,,,,,1.0,,1.0,,3.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0
K11749,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,10.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0
