,predictions
MethanobacformiciFdhF420,Mo
MethanobaclacusFdhNAD,Mo
MethanobacsubterrFwdB,Mo
MethanocaldococfervensFdhF420,Mo
MethanocaldococfervensFwdB,Mo
MethanocaldococinfernFwdB,Mo
MethanocaldococjannaschFdhF420,Mo
MethanocaldococjannaschFwdB,Mo
MethanocaldococvulcanFwdB,Mo
MethanocelaryoryzaFdhF420,Mo
MethanocelconradiFdhF420,Mo
MethanocelconradiFwdB,Mo
MethanococmaripaFdhF420,Mo
MethanococmaripaFdhF420_1,Mo
MethanococmaripaFwdB1,Mo
MethanococmaripaFwdB2,Mo
MethanococmaripaGAPOR,W
MethanococvannieFdhF420,Mo
MethanococvannieFwdB1,Mo
MethanococvannieFwdB2,Mo
MethanococvoltaeFdhF420,Mo
MethanococvoltaeFdhF420_1,Mo
MethanococvoltaeFwdB1,Mo
MethanococvoltaeFwdB2,Mo
MethanocorplabreaFdhF420,Mo
MethanocorpparvumFdhF420,Mo
MethanocullmarisFdhF420,Mo
MethanocullmarisFwdB,Mo
MethanocullthermoFdhF420,Mo
MethanolacpetroFwdB,Mo
MethanolintardaFdhF420,Mo
MethanoperednitroArrA,Mo
MethanoplanlimiFdhF420,Mo
MethanoplanlimiFwdB,Mo
MethanopykandFwdB1,Mo
MethanopykandFwdB2,Mo
MethanoregformiciFdhF420,Mo
MethanoregformiciFwdB,Mo
MethanosalzhiliFwdB,Mo
MethanosaractiFwdB,Mo
MethanosarbarkeriFdhF420,Mo
MethanosarbarkeriFwdB1,Mo
MethanosarbarkeriFwdB2,Mo
MethanosarbarkeriFwdB3,Mo
MethanosarhoronFwdB,Mo
MethanosarmazeiFdhF420,Mo
MethanosphaepalusFdhF420,Mo
MethanospirhungaFdhF420,Mo
MethanospirhungaFwdB,Mo
MethanothermococokinaweFdhF420,Mo
MethanothermococokinaweFwdB1,Mo
MethanothermococokinaweFwdB2,Mo
MethanothermococokinaweFwdB3,Mo
MethanothermococthermolithoFdhF420,Mo
MethanothermodefluvFdhF420,Mo
MethanothermomarburgFdhNAD,Mo
MethanothermomarburgFwdB1,Mo
MethanothermomarburgFwdB2,Mo
MethanothermothermautoFdhNAD,Mo
MethanothermowolfeiiFdhF420,Mo
MethanothermowolfeiiFwdB,Mo
MethanothermusfervidFdhF420,Mo
MethanothermusfervidFwdB,Mo
MethanothrixsoehnFdhNAD,Mo
MethanothrixthermoacetoFdhNAD,Mo
MethanotorformiciFdhF420,Mo
MethanotorigneusFdhF420,Mo
MethanotorigneusFwdB1,Mo
MethanotorigneusFwdB2,Mo
MethylarcmarinaFdhNAD,Mo
MethylobacluteusNasA,Mo
MethylobacwhittenFdhNAD,Mo
MethylocaldszegediFdhNAD,Mo
MethylocapacidiFdhNAD,Mo
MethyloceaniFdhNAD,Mo
MethylocelsilvesNasC,Mo
MethylococccapsulFdhN,Mo
MethylococccapsulFdhNAD,Mo
MethylococccapsulNasA,Mo
MethylohalocrimeFdhN,Mo
MethylohalocrimeFdhNAD,Mo
MethylolihaloFdhNAD,Mo
MethylomonkoyaFdhNAD,Mo
MethylophaglonarFdhNAD,Mo
MethylophaglonarNasA,Mo
MethylophagthioNasA,Mo
MethyloterrioryzaFdhN,Mo
MethyloterrioryzaFdhNAD,Mo
MethyloterrioryzaNasA,Mo
MethyloverthermoNasA,Mo
MethylovirligniFdhNAD,Mo
MicrocolvagiNasC,Mo
MicromonocremeaFdhN,Mo
MicromonoinosiFdhN,Mo
MicromonopaloNasC,Mo
MicromonopisiFdhNAD,Mo
MicromonopurpureNasC,Mo
MicrotetraniveoFdhN,Mo
MicrovirguaerodenitriFdhN,Mo
MicrovirguangAioA,Mo
MicrovirguangNapA,Mo
MicrovirlotonoFdhN,Mo
MicrovirossetAioA,Mo
MicrovirsubterrFdhN,Mo
MicrovirsubterrNapA,Mo
MitsuachitoNapA,Mo
MobilicoccpelagiFdhNAD,Mo
MoellwiscTtrA,Mo
MongoliterreAioA,Mo
MooreaproduNasC,Mo
MoormuldFdhNAD,Mo
MoormuldPsrA,Mo
Moortherm1FdhH,Mo
Moortherm1FdhNAD,Mo
MoorthermAOR,W
MoorthermPsrA,Mo
MorganmorgTtrA,Mo
MoriteldasaTtrA,Mo
MucilaginigossFdhNAD,Mo
MucischaedNapA,Mo
MumiflavNapA,Mo
MycolicibacgoodFdhN,Mo
MycolicibacsmegmaFdhNAD,Mo
NatranaerobthermArrA,Mo
NatranaerobthermFdhNAD,Mo
NatronocojeotTtrA,Mo
NatronogregArrA,Mo
NatronogregPsrA,Mo
NautiprofundiNapA,Mo
NecropsomassiliFdhH,Mo
NecropsorosorFdhH,Mo
NeorhizohuautNapA,Mo
NeptuniicaesarNasA,Mo
NesiotoexalTtrA,Mo
NevskisoliFdhNAD,Mo
NevskisoliNasA,Mo
NiastelkoreFdhNAD,Mo
NitratirutergaNapA,Mo
NitratisalsuNapA,Mo
NitrincolacisArrA,Mo
NitrobachamburgAioA,Mo
NodularspumiNasC,Mo
NonomurjiangxiFdhNAD,Mo
NonomurpolychromFdhN,Mo
NonomurpolychromFdhN1,Mo
NonomursolaniFdhNAD,Mo
NostoccycadNasC,Mo
NostocpisciNasC,Mo
NoviherbadenitrifiFdhN,Mo
NoviherbadenitrifiNapA,Mo
NovimethylokurashiNasA,Mo
OblitialkalTtrA,Mo
OceanibacindicumAioA,Mo
OceanibacpacificFdhNAD,Mo
OceanicelactiAioA,Mo
OceanicocsagmiNapA,Mo
OceanicolalitorAioA,Mo
OceanimonbaumTtrA,Mo
OceanimonsmirTtrA,Mo
Oceaprof1NapA,Mo
OceaprofFdhH,Mo
OceaprofFdhN,Mo
OceaprofPsrA,Mo
OceaprofTtrA,Mo
OchrobacintermediFdhN,Mo
OleimessinNapA,Mo
OpituterrPsrA,Mo
OrnithinipekinFdhN,Mo
OryzipropTtrA,Mo
OscillaacumiNasC,Mo
OscillanigroNasC,Mo
OtariodiorisFdhN,Mo
OxalobacformiFdhH,Mo
PaenalhominTtrA,Mo
PaenibacilbeijingNasC,Mo
PaenibacilchondroitNasC,Mo
PaenibacilforsythFdhH,Mo
PaenibacilginsengiNasC,Mo
PaenibacilsonchiFdhH,Mo
PaludibacyongneuFdhH,Mo
PaludifilhalophilNasC,Mo
PandorapisFdhNAD,Mo
Pandorpnom1FdhNAD,Mo
PandorpnomAioA,Mo
PantoeaalliiNasA,Mo
PantoeastewNasA,Mo
ParaburkarmonaAioA,Mo
ParaburkdiazotrophFdhNAD,Mo
ParaburknodosaFdhN,Mo
Paraburkphena1FdhNAD,Mo
ParaburkphenaAioA,Mo
Paraburksedimini1FdhNAD,Mo
ParaburksediminiFdhN,Mo
ParaburktuberFdhN,Mo
ParaburktuberNasA,Mo
ParaburkxenovoraFdhN,Mo
ParaclostridbenzoFdhH,Mo
ParacocalkeniFdhN,Mo
ParacocdenitrifiNasA,Mo
ParacocpantoFdhN,Mo
ParacocpantoNasA,Mo
ParacocsaliAioA,Mo
ParacocsaliFdhNAD,Mo
ParacocsaliNasA,Mo
ParacocseriniAioA,Mo
ParacocthiocyanFdhN,Mo
ParaferrsedimenNapA,Mo
ParageobacilcaldoxyNasC,Mo
ParasuttexcreArrA,Mo
ParvicaeciNapA,Mo
PasteurbettyFdhH,Mo
PasteurbettyFdhNAD,Mo
PasteurdagmaTtrA,Mo
PasteurlangaFdhNAD,Mo
PasteurmultoTtrA,Mo
PectobacbetaNasA,Mo
PectobacperuNasA,Mo
PedobacglucosiNasC,Mo
PelagiabysTtrA,Mo
PelagicolalitoriAioA,Mo
PelagicolalitoriFdhNAD,Mo
PelobacacetylenFdhNAD,Mo
PelobaccarbinolFdhNAD,Mo
PelobacselenTtrA1,Mo
PelobacselenTtrA2,Mo
PelodictphaeoPsrA,Mo
PelosinfermentFdhH,Mo
PeptoclosacidaFdhNAD,Mo
PersehydroNapA,Mo
PersemariNapA,Mo
PetrohalophilFdhNAD,Mo
PetromobilisFdhNAD,Mo
PhaeobacgallaeNasA,Mo
PhaeobaclitaliFdhNAD,Mo
PhorcysthermohydroNapA,Mo
PhormipriestNasC,Mo
PhotobacdamseFdhH,Mo
PhotobacdamseNapA,Mo
PhotobacgangArrA,Mo
PhotobacgangNapA,Mo
PhotobacgangTtrA,Mo
PhotobacprofNapA,Mo
PhotobacprofTtrA,Mo
PhyllobacbourgoFdhN,Mo
PhyllobacbourgoNapA,Mo
PhyllobacbrassiFdhN,Mo
PhyllobacbrassiNapA,Mo
PlanktopauciNasC,Mo
PlantkotepidaNasC,Mo
PlasticiacidTtrA,Mo
PolymorphgilvumAioA,Mo
PraurselmarinaFdhNAD,Mo
PrimorinsulaeNasA,Mo
ProlinofasciNasA,Mo
ProlixibellPsrA,Mo
ProlixidenitrPsrA,Mo
PromineobreveFdhH,Mo
PropionibacacidiFdhNAD,Mo
PropionivibdicarbArrA,Mo
ProtcolumbPsrA,Mo
ProthausTtrA,Mo
ProtmiraPsrA,Mo
ProtvulgPsrA,Mo
ProtvulgTtrA,Mo
ProvidburhoTtrA,Mo
ProvidrettTtrA,Mo
ProvidsneeTtrA,Mo
Providstua1FdhN,Mo
ProvidstuaNapA,Mo
ProvidstuaTtrA,Mo
PseudaminosaliTtrA,Mo
Pseudodesulfindi1FdhN,Mo
PseudodesulfindiPsrA,Mo
PseudodesulfpiezFdhN,Mo
PseudodesulfpiezTtrA,Mo
PseudodesulfprofNapA,Mo
PseudodesulfprofPsrA,Mo
PseudodongxiamTtrA,Mo
Pseudogulbenferrooxi1FdhNAD,Mo
PseudogulbenferrooxiFdhN,Mo
PseudogulbensubflavFdhNAD,Mo
PseudomonaerugiFdhN,Mo
PseudomonarseniAioA,Mo
PseudomonbenzeniAioA,Mo
PseudomonflexTtrA,Mo
PseudomonindicaFdhNAD,Mo
PseudomonmendoFdhNAD,Mo
PseudomonnitroredFdhN,Mo
PseudomonputdiaAioA,Mo
Pseudomonstutz1AioA,Mo
Pseudomonstutz1NapA,Mo
PseudomonstutzTtrA,Mo
PseudonoammoniFdhN,Mo
PseudonocardalniFdhN,Mo
PseudonocarddioxaniFdhNAD,Mo
PseudonocardthermoFdhNAD,Mo
PseudooceanatlantiNasA,Mo
PseudooceannitratiNasA,Mo
PseudorhizopelagiNapA,Mo
PseudorueghalioNasA,Mo
PseudorueglutiAioA,Mo
PseudoruegmariniNasA,Mo
PseudosporferrugiNasC,Mo
PseudoviasciTtrA,Mo
PseudovidenitrTtrA,Mo
PsychrilyoatlantiFdhNAD,Mo
PsychromonaquiArrA,Mo
PuniceisedimiNasA,Mo
PyrinomethylaNasC,Mo
PyroaerGAPOR,W
PyroaerNarG,Mo
PyroaeroPsrA,W
PyroaeroTtrA,W
PyroarsenPsrA,W
PyroarsenTtrA,W
PyrocalidiAioA,Mo
PyrococfurioAOR,W
PyrococfurioFOR,W
PyrococfurioGAPOR,W
PyrocockukulFdhF420,Mo
PyrococyayanFdhF420,Mo
PyroferriAioA,Mo
PyroferriTtrA,W
PyroislaPsrA,W
PyroneutroPsrA,W
PyroogunAioA,Mo
PyroogunTtrA,W
RalstoninsioNasA,Mo
RalstonmannitolNasA,Mo
Ralstonpicket1NapA,Mo
Ralstonpicket1NasA,Mo
RalstonpicketFdhNAD,Mo
RalstonsolanaAioA,Mo
RamlitataouNapA,Mo
RaoulornithTtrA,Mo
ReyranelmassiliFdhN,Mo
RhizobacgummiNapA,Mo
RhizobiumAioA,Mo
RhizobiumetliNapA,Mo
Rhizobiumfavelu1NapA,Mo
RhizobiumfaveluFdhN,Mo
RhizobiummarinNapA,Mo
RhizobiumsullaeFdhN,Mo
RhizobiumtropicFdhNAD,Mo
Rhodobaccapsul1NasA,Mo
RhodobaccapsulAioA,Mo
RhodobacmegaloNapA,Mo
RhodobacsphaeNapA,Mo
RhodobacviriAioA,Mo
RhodoferferriAioA,Mo
RhodopirislanNapA,Mo
RhodopirsalleNapA,Mo
RhodopseudopalusFdhFdhNAD,Mo
RhodopseudopalusFdhH,Mo
RhodopseudopalusNapA,Mo
RhodospirilrubrumFdhH,Mo
RhodothermmariNapA,Mo
RhodothermprofundiNapA,Mo
RhodovulsulfidoDdhA,Mo
RipporientaNasC,Mo
RivibacsubsaxNapA,Mo
RivicolpingtunFdhN,Mo
RodentipneumoNapA,Mo
RomboutlituseFdhH,Mo
RoseibcalidiAioA,Mo
RoseifermentAioA,Mo
RoseimicrogellanNapA,Mo
RoseiviisopAioA,Mo
RoseivirechiniFdhNAD,Mo
RoseocerviAioA,Mo
RoseovaazorenFdhNAD,Mo
RoseovagaetAioA,Mo
RoseovaindicusFdhNAD,Mo
RubrimoncliftAioA,Mo
RubritalmariNapA,Mo
RubritflocTtrA,Mo
RubrivigelatiNapA,Mo
RuegerlacusNasA,Mo
RuegerlitorNapA,Mo
RuegermarinaNasA,Mo
RuegermarisFdhNAD,Mo
RuminobacamyloFdhNAD,Mo
SaccharicarchaNapA,Mo
SaccharopolyflavaFdhNAD,Mo
SalinimicrosediminPsrA,Mo
SalipaauraPsrA1,Mo
SalipaauraPsrA2,Mo
SalipaauraTtrA,Mo
SalipaneizhouNasC,Mo
SalipbermuNasA,Mo
SalipprofunNasA,Mo
SalipthioNasA,Mo
SalipthioTtrA,Mo
SalisehaloPsrA,Mo
SalisehaloTtrA,Mo
SalmonbongNapA,Mo
SalmonbongPsrA,Mo
SalmonbongTtrA,Mo
SalmonenterFdhH,Mo
SalmonenterFdhN,Mo
SalmonenterNapA,Mo
SalmonenterPsrA,Mo
SalmonenterTtrA,Mo
SamsonerythNasA,Mo
ScytonemilleiNasC,Mo
ScytonetolypothNasC,Mo
SebaldeltermitiFdhNAD,Mo
SedimentthioFdhNAD,Mo
SedimentthioTtrA,Mo
SediminiluteNapA,Mo
SelenihalshriftArrA,Mo
SelenihalshriftFdhNAD,Mo
SeleniwoodNapA,Mo
SelenoruminNapA,Mo
SenegalanaeFdhNAD,Mo
SenegalanaePsrA,Mo
SeonamaphaeNapA,Mo
SerratficariFdhN,Mo
SerratmarcTtrA,Mo
ShewanalgaTtrA,Mo
ShewanamazPsrA,Mo
Shewanbalt1TtrA,Mo
ShewanbaltNapA,Mo
ShewanbaltPsrA,Mo
ShewandecolPsrA,Mo
ShewandecolTtrA,Mo
ShewanjaponArrA,Mo
ShewanmarinaFdhH,Mo
ShewanmarinaNapA,Mo
ShewanmassiTorA,Mo
ShewanoneiFdhN,Mo
ShewanoneiNapA,Mo
ShewanoneiPsrA,Mo
ShewanpiezoArrA,Mo
ShewanputreArrA,Mo
ShewanputreTtrA,Mo
ShewanwaksArrA,Mo
ShigeldysenterFdhN,Mo
ShigeldysenterNapA,Mo
ShigelflexFdhN,Mo
ShigelflexNapA,Mo
ShigelsonneiFdhH,Mo
SideroxlithoNasA,Mo
SilicimonalgiFdhNAD,Mo
SinomonatrocyanFdhN,Mo
SinorhizameriAioA,Mo
SinorhizarboriFdhN,Mo
SinorhizfrediNapA,Mo
SinorhizmediNapA,Mo
SinorhizmeliNapA,Mo
SkermaaeroNapA,Mo
SlackexigFdhH,Mo
SlackexigNapA,Mo
SlackexigPsrA,Mo
SlackheliotriniFdhNAD,Mo
SlackheliotriniNapA,Mo
SlackisoflavNapA,Mo
SlackpiriPsrA,Mo
SolimonflumiNasA,Mo
SolirubrobacsoliFdhNAD,Mo
SphaerobacthermoFdhN,Mo
SphaerospermkisselNasC,Mo
SphaerotilhippeiFdhN,Mo
SphaerotilhippeiNapA,Mo
SpirilloalbidaNasC,Mo
SporolthermNapA,Mo
SporolthermPsrA,Mo
SporolthermTtrA,Mo
SporomacidFdhH,Mo
SporomacidNapA,Mo
SporomacidPsrA,Mo
SporomsilvaNapA,Mo
SporomsphaeFdhH,Mo
SporomsphaeTtrA,Mo
StaniercyanoNasC,Mo
StarknovelAioA,Mo
StarknovelFdhN,Mo
StarknovelFdhNAD,Mo
StenoxybacacetiFdhN,Mo
StreptomyazurFdhNAD,Mo
StreptomyfulvoFdhNAD,Mo
StreptomymegasporFdhN,Mo
StreptomythermoautoNasC,Mo
StreptosporFdhNAD,Mo
StreptosporNasC,Mo
SuccinimonamyloFdhNAD,Mo
SulfobacacidTtrA,Mo
SulfuriceldenitriNapA,Mo
SulfuricurkujiNapA,Mo
SulfuridenitriNapA,Mo
SulfurifusvariaNasA,Mo
SulfurigotlanNapA,Mo
SulfurihydrosubterNapA,Mo
SulfurimautoNapA,Mo
SulfurimautoPsrA,Mo
SulfurirhabautoNasA,Mo
SulfurisomsediminiFdhN,Mo
SulfurisomsediminiNapA,Mo
SulfurosparcachoFdhH,Mo
SulfurosparsenAioA,Mo
SulfurosparsenArrA,Mo
SulfurosparsenNapA,Mo
SulfurosparsenPsrA1,Mo
SulfurosparsenPsrA2,Mo
SulfurospbarnAioA,Mo
SulfurospbarnArrA,Mo
SulfurospbarnNapA,Mo
SulfurospbarnPsrA1,Mo
SulfurospbarnPsrA2,Mo
SulfurospcavoTtrA,Mo
SulfurospdelePsrA2,Mo
SulfurospdeleyNapA,Mo
SulfurospdeleyPsrA1,Mo
SulfurospmultiAioA,Mo
SulfurospmultiArrA,Mo
SulfurospmultiPsrA1,Mo
SulfurospmultiPsrA2,Mo
SulfurospmultiTtrA,Mo
SulfurovulithoNapA,Mo
SunxelliptPsrA,Mo
SymbiobacthermoFdhH,Mo
SymbiobacthermoFdhN,Mo
SymbiobacthermoNapA,Mo
SynechoelongNasC,Mo
SyntrophgentiaFdhNAD,Mo
SyntrophobacfumaroxiFdhN,Mo
SyntrophobacfumaroxiFdhNAD,Mo
SyntrophomonwolfeiFdhN,Mo
SyntrophomonzehnFdhN,Mo
SyntrophorhabaromatiFdhN,Mo
SyntrophorhabaromatiFdhNAD,Mo
SyntrophothermlipocaliFdhNAD,Mo
TamlanagariNapA,Mo
TardirobiniAioA,Mo
TenacicaeniNapA,Mo
TenacidicenNapA,Mo
TenacisoleaNapA,Mo
TepiddecaArrA,Mo
TepiddecaFdhN,Mo
TepiddecaPsrA,Mo
TepiddecaTtrA,Mo
TepidfermentFdhN,Mo
TerrisporobacglycolFdhH,Mo
TerrisporobacothiniFdhH,Mo
ThalassobaccyriTtrA,Mo
ThalassobacdevorNasC,Mo
Thalassobigelatini1NasA,Mo
ThalassobigelatiniAioA,Mo
ThalassospirmarinaFdhNAD,Mo
ThalassospirprofundiFdhNAD,Mo
ThalassospirxiameNapA,Mo
ThalassotaagariNapA,Mo
ThauaromTtrA,Mo
ThaubutaniNapA,Mo
ThauhumiTtrA,Mo
ThauhydrothermNapA,Mo
ThaulinalooFdhN,Mo
ThauphenoliNasA,Mo
ThauphenylNapA,Mo
ThauphenylNasA,Mo
ThaupropTtrA,Mo
ThauselenatSerA,Mo
ThauterpFdhN,Mo
ThauterpTtrA,Mo
ThermanaerobackivuiFdhH,Mo
ThermanaerothrixdaxeFdhNAD,Mo
ThermantoyoFdhNAD,Mo
ThermantoyoPsrA,Mo
ThermantoyoTtrA1,Mo
ThermantoyoTtrA2,Mo
ThermicanaegyPsrA,Mo
ThermicanaegyTtrA,Mo
ThermincoferriacetiFdhNAD,Mo
ThermincopotensFdhN,Mo
ThermincopotensFdhNAD,Mo
ThermoacetophaeumFdhN,Mo
ThermoacetophaeumFdhNAD,Mo
ThermoanaeroaquatiNapA,Mo
ThermococcgammaFdhF420,Mo
ThermococclitorFOR,W
ThermococconnuriFdhF420,W
ThermocrinruberAioA,Mo
ThermocrinruberFdhN,Mo
ThermodesulfaatlanNapA,Mo
ThermodesulfaautoNapA,Mo
ThermodesulfcommFdhN,Mo
ThermodesulfcommPsrA,Mo
ThermodesulfobnaruFdhN,Mo
ThermodesulforhabnorvegFdhNAD,Mo
ThermodesulfthermFdhN,Mo
ThermodesulfthermPsrA,Mo
ThermoficarboxPsrA,W
ThermofipenPsrA,W
ThermoflexhugePsrA,W
ThermoflexhugeTtrA,W
ThermogutterriTtrA,Mo
ThermomicrobroseumFdhN,Mo
ThermomonocurvaNasC,Mo
ThermopolyflexNasC,Mo
ThermosediminioceanFdhH,Mo
ThermostaphychromFdhN,Mo
ThermosulfdismuNapA,Mo
ThermosynechelongNasC,Mo
ThermosynechvulcanNasC,Mo
ThermosynlipoFdhNAD,Mo
ThermosynlipoPsrA,Mo
ThermotogacaldifonFdhNAD,Mo
ThermotogaprofundFdhNAD,Mo
ThermovibammoniNapA,Mo
ThermovibguaymaFdhN,Mo
ThermovibguaymaNapA,Mo
ThermusarciTtrA,W
ThermusbrocPsrA,Mo
ThermusbrocTtrA,W
ThermuscaldAioA,Mo
ThermuscaldFdhH,Mo
ThermuscaldFdhN,Mo
ThermuscaldPsrA,Mo
ThermuscaldTtrA,W
ThermuscaldifonFdhH,Mo
ThermuscaldifonFdhN,Mo
ThermusfiliAioA,Mo
ThermusfiliTtrA,Mo
ThermusoshiFdhH,Mo
ThermusoshiPsrA,Mo
ThermusscotAioA,Mo
ThermusscotFdhH,Mo
ThermusscotPsrA,Mo
ThermustengPsrA,Mo
ThermustengTtrA,Mo
ThermusthermAioA,Mo
ThermusthermNarG,Mo
ThioalknitratArrA,Mo
ThioalkparaArrA,Mo
ThioalkparaPsrA,Mo
ThioalksulfidArrA,Mo
ThioalksulfidNasA,Mo
ThioalkthiocyanArrA,Mo
ThiobacdenitrTtrA,Mo
ThiocalpaciNasA,Mo
ThiocalpaciTtrA,Mo
ThiocapmarinaAioA,Mo
ThiocapmarinaNasA,Mo
ThiocaproseaArrA,Mo
ThiocaproseoNasA,Mo
ThioclaarenoNasA,Mo
ThioclaindiTtrA,Mo
ThiogranlongumNasA,Mo
ThiohalomondenitrTtrA,Mo
ThiolidiscFdhNAD,Mo
ThiolidiscPsrA,Mo
ThiomonarseniAioA,Mo
ThiomoninterAioA,Mo
ThioplocingriNasA,Mo
ThiorhodococdrewsiiFdhNAD,Mo
ThiothrcaldNasA,Mo
ThiothrcaldPsrA,Mo
ThiothrniveaNasA,Mo
ThiothrniveaPsrA,Mo
TibetisediAioA,Mo
TindalcalifArrA,Mo
TistliconsotAioA,Mo
TrabguamPsrA,Mo
TrichoerythraeNasC,Mo
TrichorvariabiNasC,Mo
TropicibacnaphtaleniFdhNAD,Mo
TropicibacnaphtaleniNasA,Mo
TropicibacphthaliFdhNAD,Mo
TropicimonsedimiNasA,Mo
TuricimonmurisArrA,Mo
UliginosigangwonFdhH,Mo
VariosoliNapA,Mo
VermineaporAioA,Mo
VerrucosedimiNasC,Mo
VibrialgiTtrA,Mo
VibribreoNapA,Mo
VibriharveTtrA,Mo
VibrimytiliFdhH,Mo
VibriparaTtrA,Mo
VibrirhizoFdhH,Mo
VibrivulcanNapA,Mo
VirgibacchigTtrA,Mo
Virgibachalo1NasA,Mo
VirgibachaloTtrA,Mo
VitriofiliNapA,Mo
VogeselindigoFdhN,Mo
VolucripsittaNapA,Mo
WenyifucaniNapA,Mo
WinogradjejuNapA,Mo
WolfahchitFdhN,Mo
WolfahchitTtrA,Mo
WolfahlarvaFdhH,Mo
WolfahlarvaTtrA,Mo
WolfahpopuliFdhH,Mo
WolinsuccArrA,Mo
WolinsuccNapA,Mo
WolinsuccPsrA,Mo
WolinsuccTtrA,Mo
Xanthobacauto1FdhN,Mo
XanthobacautoAioA,Mo
XiangphaseoNasC,Mo
YangpaciNasA,Mo
YersinpestisFdhN,Mo
YersinruckerFdhN,Mo
YokeneregenTtrA,Mo
YoungivesiNasA,Mo
ZhouamyloNapA,Mo
ZobelgalacNapA,Mo
ZobeluligiNapA,Mo
ZoogloramiNasA,Mo
radyrhizoelkaniFdhNAD,Mo
